Real,ADJ,CMC,CPL,VERB
1,0.0048512,0.15568,0.98029,0.046109
1,0.028848,0.25462,0.018345,0.088062
1,0.030653,0.92883,0.050737,0.025296
1,0.0048512,0.97407,0.0098972,0.015645
1,0.35647,0.95736,0.0071556,0.074734
1,0.23163,0.31785,0.020439,0.0059291
1,0.10538,0.025556,0.0065538,0.013665
1,0.012122,0.14241,0.032733,0.057054
1,0.03772,0.23862,0.022636,0.03214
1,0.0078876,0.32202,0.0064972,0.0042397
1,0.070605,0.26625,0.0088358,0.059586
1,0.0032627,0.30242,0.083442,0.036162
1,0.016089,0.016151,0.01976,0.026907
1,0.0071548,0.13664,0.009438,0.012813
1,0.057431,0.80952,0.010911,0.019507
1,0.0099163,0.047346,0.11163,0.031338
1,0.022646,0.43247,0.0088822,0.06382
1,0.017186,0.15612,0.010844,0.017025
1,0.085533,0.01308,0.011109,0.021443
1,0.16357,0.94353,0.56103,0.041302
1,0.27859,0.97379,0.3253,0.014952
1,0.011613,0.039462,0.024782,0.0060292
1,0.06768,0.96793,0.0095782,0.0083984
1,0.012268,0.76137,0.0074144,0.036514
1,0.10086,0.01404,0.021496,0.013203
1,0.033354,0.039036,0.0057484,0.15194
1,0.7675,0.096248,0.10868,0.0099563
1,0.12311,0.042384,0.0067604,0.014757
1,0.01201,0.96653,0.0082742,0.016989
1,0.22368,0.085079,0.0075178,0.037707
1,0.032149,0.99844,0.018519,0.013548
1,0.22664,0.51043,0.1392,0.020841
1,0.025024,0.0017489,0.008637,0.035622
1,0.045896,0.98939,0.0068152,0.0061713
1,0.0079458,0.22507,0.1684,0.0053986
1,0.033183,0.89752,0.018289,0.0022266
1,0.98572,0.96429,0.0085841,0.081275
1,0.10702,0.1498,0.014084,0.0059922
1,0.061181,0.98751,0.10043,0.02217
1,0.16394,0.98423,0.0074578,0.019123
1,0.014691,0.13132,0.018212,0.026962
1,0.067668,0.99244,0.0080967,0.0060292
1,0.057044,0.062485,0.065797,0.050114
1,0.015211,0.62716,0.0090201,0.020214
1,0.0056603,0.43129,0.067879,0.0049439
1,0.39984,0.97591,0.028185,0.034608
1,0.058338,0.98163,0.024458,0.012984
1,0.0069908,0.081542,0.12093,0.0055461
1,0.015989,0.20795,0.61395,0.044488
1,0.035725,0.033539,0.020148,0.025918
1,0.06486,0.088634,0.066196,0.20943
1,0.07217,0.69645,0.009736,0.0069564
1,0.038259,0.98043,0.0071712,0.64405
1,0.027151,0.40831,0.014992,0.0055417
1,0.40406,0.97114,0.019406,0.016099
1,0.0098102,0.97025,0.012229,0.063257
1,0.0176,0.42364,0.13675,0.063212
1,0.013278,0.96211,0.021571,0.025011
1,0.024032,0.023055,0.008345,0.052767
1,0.014843,0.052202,0.0075936,0.0060292
1,0.028286,0.70218,0.0070675,0.040312
1,0.0055347,0.95889,0.020544,0.046856
1,0.14885,0.95439,0.045516,0.48371
1,0.012539,0.20609,0.0085428,0.0079661
1,0.39158,0.93502,0.0092035,0.0093621
1,0.072092,0.2523,0.14256,0.039469
1,0.0048512,0.95498,0.011164,0.093274
1,0.0035461,0.031184,0.012146,0.0086722
1,0.068088,0.71389,0.0087706,0.033753
1,0.028359,0.9699,0.073369,0.030466
1,0.0093095,0.039046,0.0078303,0.047378
1,0.064667,0.94624,0.019167,0.035728
1,0.021502,0.73022,0.0072639,0.072759
1,0.020304,0.17838,0.0066868,0.053379
1,0.051063,0.33631,0.0077733,0.0081032
1,0.074201,0.98339,0.015795,0.045906
1,0.027527,0.90534,0.0076705,0.1639
1,0.91442,0.98927,0.0090653,0.0061788
1,0.15214,0.97841,0.0080921,0.016857
1,0.046102,0.90606,0.032755,0.021321
1,0.1577,0.98445,0.0070722,0.061336
1,0.04209,0.95518,0.26193,0.011838
1,0.062432,0.97926,0.013916,0.0092797
1,0.26597,0.61119,0.0055789,0.029665
1,0.0089591,0.094175,0.0069936,0.020976
1,0.0096946,0.9645,0.010273,0.033432
1,0.036824,0.67409,0.0068965,0.010856
1,0.1841,0.98616,0.0090569,0.0066207
1,0.030638,0.40783,0.011122,0.03786
1,0.088503,0.11783,0.0091247,0.0999
1,0.024047,0.39097,0.050142,0.03202
1,0.031588,0.8102,0.29686,0.0066955
1,0.14049,0.079824,0.080936,0.039267
1,0.0071977,0.075401,0.011113,0.030443
1,0.050733,0.95665,0.01042,0.0050888
1,0.030688,0.97523,0.0064321,0.010763
1,0.0098279,0.057494,0.9839,0.073197
1,0.030677,0.82373,0.0060709,0.032517
1,0.011854,0.35452,0.37943,0.011557
1,0.009095,0.075961,0.14885,0.0050926
1,0.029951,0.138,0.0060194,0.014929
1,0.98116,0.018414,0.0063725,0.010092
1,0.86685,0.98475,0.075972,0.39452
1,0.75894,0.099088,0.030195,0.0090501
1,0.18474,0.08125,0.70578,0.30863
1,0.97535,0.99335,0.0079607,0.05268
1,0.006488,0.12979,0.030898,0.011858
1,0.41068,0.98799,0.0074238,0.22219
1,0.036461,0.97461,0.63244,0.03477
1,0.42806,0.73282,0.11472,0.0094191
1,0.0080899,0.25003,0.0065706,0.025336
1,0.90109,0.083031,0.0074105,0.03703
1,0.95473,0.0046104,0.0071454,0.16136
1,0.082681,0.13608,0.0071119,0.011914
1,0.79252,0.97087,0.013079,0.0054742
1,0.008883,0.31993,0.0097235,0.016422
1,0.71094,0.17041,0.080312,0.018127
1,0.0065078,0.016775,0.010973,0.0066302
1,0.19517,0.96323,0.0068953,0.0060344
1,0.079765,0.97898,0.0074569,0.01032
1,0.015913,0.69265,0.18245,0.0077003
1,0.10686,0.090399,0.0077416,0.011609
1,0.0077107,0.32792,0.1396,0.12572
1,0.25373,0.98692,0.044416,0.036043
1,0.039819,0.86904,0.010455,0.011825
1,0.45912,0.98424,0.010132,0.063417
1,0.2713,0.98931,0.035482,0.031375
1,0.021834,0.97891,0.0080918,0.016653
1,0.045191,0.25618,0.01314,0.013033
1,0.0025807,0.98434,0.0062278,0.030734
1,0.0083675,0.15075,0.022099,0.014435
1,0.29183,0.28528,0.010097,0.017975
1,0.034729,0.86891,0.0066328,0.030338
1,0.31916,0.98047,0.0090159,0.066585
1,0.050853,0.96553,0.016611,0.0060292
1,0.10214,0.10757,0.0071885,0.34407
1,0.014465,0.35727,0.0092855,0.060061
1,0.040467,0.16399,0.11573,0.030925
1,0.17713,0.068848,0.014921,0.0069886
0,0.0046267,0.17143,0.0064927,0.0047215
0,0.0041254,0.010317,0.0062879,0.0042673
0,0.0045421,0.029739,0.0063744,0.0058605
0,0.0048016,0.0016124,0.0058481,0.0069143
0,0.0037068,0.055589,0.0064481,0.0046953
0,0.0043871,0.018177,0.0066199,0.0049006
0,0.0028961,0.071511,0.0059853,0.0052579
0,0.0024465,0.019905,0.0059435,0.0055039
0,0.0084078,0.031563,0.0062844,0.0055177
0,0.0051476,0.028366,0.0063872,0.0046681
0,0.0049498,0.0065682,0.0063533,0.0068336
0,0.0049165,0.051634,0.0059745,0.0065767
0,0.002518,0.005253,0.0048021,0.006793
0,0.0048512,0.004232,0.0061682,0.0057345
0,0.0034235,0.0035808,0.0064525,0.0043047
0,0.0070674,0.0034857,0.0071821,0.0038015
0,0.0038305,0.056624,0.0062433,0.0075623
0,0.0038722,0.0239,0.0060388,0.049148
0,0.004549,0.0017178,0.0052332,0.0046085
0,0.0039737,0.0046438,0.0060865,0.0059177
0,0.0037896,0.0027583,0.0066596,0.004646
0,0.0067293,0.0053931,0.0020915,0.00588
0,0.0018313,0.002942,0.0056896,0.0060292
0,0.0043087,0.0076958,0.0063395,0.0058957
0,0.0062578,0.018783,0.0063707,0.0034693
0,0.0039559,0.063807,0.0061923,0.0062728
0,0.005109,0.21139,0.0062271,0.0062586
0,0.0015141,0.0020473,0.0051098,0.0074506
0,0.0098698,0.0016523,0.0063438,0.020942
0,0.014074,0.12574,0.006267,0.0054957
0,0.0026735,0.028251,0.0057529,0.0064212
0,0.0031841,0.017536,0.0067392,0.0052203
0,0.0075622,0.031145,0.0061115,0.0062208
0,0.0027348,0.0068322,0.0062026,0.0071505
0,0.014792,0.019068,0.0058398,0.006205
0,0.0029863,0.0070975,0.0062782,0.0054636
0,0.0043984,0.016476,0.0075074,0.0059833
0,0.0039811,0.02486,0.0066396,0.0044414
0,0.0044162,0.018936,0.0064433,0.004047
0,0.0056737,0.042516,0.0043896,0.0052284
0,0.0029875,0.0030496,0.0069507,0.019892
0,0.0055352,0.0030255,0.0065121,0.0049248
0,0.0049525,0.037668,0.0064303,0.0031081
