Real,ADJ,CMC,CPL,VERB
1,0.79681,0.86161,0.071976,0.035096
1,0.34221,0.9607,0.008382,0.012184
1,0.0032455,0.07534,0.045114,0.13207
1,0.018282,0.72436,0.092626,0.044231
1,0.38636,0.53623,0.019332,0.12773
1,0.78091,0.54418,0.0078714,0.23276
1,0.7882,0.52496,0.027882,0.34374
1,0.041741,0.97346,0.027552,0.40248
1,0.99994,0.037992,0.10429,0.0041569
1,0.02087,0.15513,0.076395,0.023542
1,0.012754,0.032957,0.014826,0.17982
1,0.61661,0.08563,0.0088338,0.30781
1,0.16435,0.99244,0.17922,0.051823
1,0.0049915,0.90962,0.030093,0.91783
1,0.99701,0.80681,0.0083614,0.083053
1,0.057353,0.66026,0.0055081,0.1033
1,0.018727,0.80952,0.028136,0.0035176
1,0.15517,0.42814,0.13084,0.06842
1,0.11253,0.66177,0.029653,0.18405
1,0.013732,0.76845,0.0058876,0.021805
1,0.7893,0.94456,0.0070382,0.047975
1,0.80578,0.29679,0.20339,0.20414
1,0.017262,0.05942,0.040266,0.029592
1,0.088397,0.93047,0.08757,0.0095185
1,0.51815,0.10992,0.014531,0.064792
1,0.84874,0.80678,0.0062625,0.050982
1,0.28948,0.42518,0.0064317,0.56718
1,0.02103,0.10719,0.0065679,0.12045
1,0.99964,0.81615,0.11271,0.015112
1,0.8997,0.95016,0.026228,0.18479
1,0.021559,0.85881,0.0090723,0.18521
1,0.020746,0.85475,0.076335,0.015121
1,0.2467,0.88044,0.0076211,0.48558
1,0.01125,0.8577,0.0071549,0.1113
1,0.19226,0.82901,0.98713,0.023703
1,0.26814,0.29472,0.0064053,0.24378
1,0.007433,0.90424,0.0077264,0.092883
1,0.045598,0.9524,0.024332,0.037607
1,0.096633,0.95085,0.014283,0.049599
1,0.99991,0.41087,0.74859,0.19885
1,0.98753,0.16019,0.05824,0.53749
1,0.17067,0.94583,0.0085252,0.019708
1,1,0.73755,0.052234,0.099726
1,0.36734,0.68806,0.0056078,0.19571
1,0.42105,0.25286,0.1509,0.65698
1,0.99952,0.84597,0.033981,0.80938
1,0.11266,0.86206,0.039432,0.25693
1,0.10791,0.90736,0.066981,0.21071
1,0.047082,0.23228,0.029815,0.01846
1,0.41181,0.87089,0.040663,0.0088879
1,0.1574,0.19033,0.11408,0.54772
1,0.028356,0.1911,0.010726,0.40034
1,0.87993,0.75143,0.91208,0.074139
1,0.26401,0.72555,0.05986,0.058195
1,0.03645,0.82547,0.28659,0.053329
1,0.016596,0.87016,0.0054185,0.16661
1,0.77803,0.17412,0.0071199,0.27513
1,0.35772,0.20975,0.042325,0.72308
1,0.79513,0.85855,0.029128,0.12364
1,0.87315,0.38535,0.041853,0.14553
1,0.072084,0.16439,0.058287,0.026974
1,0.52653,0.78445,0.0065987,0.12651
1,0.99465,0.17908,0.88092,0.15926
1,0.82382,0.67358,0.0062916,0.44924
1,0.76287,0.77889,0.041162,0.16722
1,0.21658,0.2133,0.017516,0.1702
1,0.99581,0.45515,0.010257,0.067328
1,0.94736,0.63909,0.012953,0.033463
1,0.017849,0.92832,0.18222,0.062071
1,0.070442,0.36887,0.10365,0.084093
1,0.57292,0.064392,0.089542,0.021707
1,0.009744,0.58672,0.013594,0.20193
1,0.99992,0.21455,0.028788,0.0002485
1,0.21095,0.10012,0.012915,0.4326
1,0.033141,0.75549,0.016155,0.096226
1,0.99977,0.88777,0.019821,0.027805
1,0.0061934,0.11833,0.01243,0.049512
1,0.20914,0.22399,0.81228,0.042523
1,0.097882,0.52477,0.39828,0.025592
1,0.93494,0.16206,0.081874,0.031751
1,0.053311,0.89317,0.28178,0.37221
1,0.74144,0.26358,0.040087,0.11166
1,0.42728,0.12362,0.019135,0.13169
1,0.99997,0.96061,0.8919,0.7199
1,0.67976,0.68726,0.0077641,0.017494
1,0.45746,0.29923,0.75596,0.041724
1,0.0090576,0.98382,0.0061744,0.24737
1,0.55002,0.35944,0.089434,0.076843
1,0.99981,0.016077,0.16185,0.0087928
1,1,0.77821,0.036541,0.81054
1,0.53456,0.10383,0.006112,0.14744
1,0.26486,0.79606,0.035174,0.86363
1,0.079067,0.95963,0.0099588,0.80637
1,0.12372,0.86884,0.040208,0.48018
1,0.0047318,0.90531,0.008372,0.57632
1,0.15302,0.95649,0.0087339,0.76021
1,0.99664,0.76582,0.0073401,0.052012
1,0.32679,0.99735,0.015687,0.52371
1,0.94504,0.73616,0.017269,0.45339
1,0.14593,0.87528,0.021322,0.024674
1,0.41223,0.84821,0.0083445,0.050304
1,0.42963,0.24577,0.011937,0.097272
1,0.015081,0.50558,0.037246,0.073454
1,0.11986,0.46648,0.096217,0.02018
1,0.026239,0.98891,0.011597,0.083077
1,0.024805,0.54287,0.013058,0.014935
1,0.020193,0.90528,0.058181,0.030037
1,0.031489,0.99363,0.029829,0.06083
1,0.99407,0.49803,0.039043,0.047832
1,0.07698,0.89189,0.091836,0.067338
1,0.062621,0.3278,0.045648,0.20643
1,0.296,0.58286,0.016689,0.086167
1,0.0067191,0.034296,0.0075184,0.02245
