Real,ADJ,CMC,CPL,VERB
1,0.0093804,0.070759,0.0095049,0.00578
1,0.037063,0.12157,0.0076267,0.023578
1,0.028327,0.31128,0.0084563,0.012583
1,0.017271,0.15619,0.0080876,0.028242
1,0.023496,0.030022,0.011342,0.0054067
1,0.16034,0.70271,0.0082623,0.0085439
1,0.022021,0.10248,0.0082597,0.031619
1,0.0010004,0.12998,0.0089889,0.0074531
1,0.0066542,0.023797,0.0073567,0.013587
1,0.47692,0.16671,0.010285,0.015721
1,0.12752,0.91324,0.009023,0.022148
1,0.063096,0.96871,0.0067932,0.047613
1,0.00373,0.037822,0.014217,0.0053562
1,0.067151,0.99826,0.0089486,0.011436
1,0.0066046,0.054022,0.0083536,0.016135
1,0.40496,0.97898,0.0099252,0.010754
1,0.689,0.66178,0.0061612,0.017125
1,0.0041817,0.87857,0.010451,0.0261
1,0.082964,0.028334,0.011603,0.0090845
1,0.1246,0.56003,0.007169,0.02239
1,0.012955,0.028524,0.007315,0.0080197
1,0.0082641,0.99881,0.0078226,0.020097
1,0.011538,0.0217,0.010628,0.013402
1,0.0081216,0.9986,0.0066706,0.010907
1,0.0093917,0.47088,0.026235,0.015202
1,0.17209,0.93955,0.0084985,0.0076847
1,0.55822,0.52342,0.011305,0.011655
1,0.012546,0.99826,0.01024,0.012558
1,0.016059,0.017414,0.0079187,0.025084
1,0.10768,0.057073,0.010878,0.025067
1,0.0261,0.088535,0.0081637,0.0097374
1,0.010182,0.66942,0.0073306,0.011029
1,0.0098725,0.066585,0.0098117,0.0056979
1,0.021054,0.9983,0.011628,0.031394
1,0.013056,0.99875,0.013477,0.013752
1,0.016318,0.035407,0.0073995,0.011687
1,0.030268,0.029766,0.006505,0.0089333
1,0.042528,0.067656,0.014998,0.030333
1,0.040546,0.075739,0.012095,0.0061373
1,0.012195,0.031011,0.0084557,0.018533
1,0.025819,0.53126,0.0087776,0.012236
1,0.0055179,0.60493,0.03473,0.0061709
1,0.21965,0.36356,0.0084236,0.013663
1,0.0051808,0.99917,0.0086102,0.017132
1,0.36641,0.52248,0.0079822,0.014992
1,0.1009,0.99837,0.0076152,0.0043434
1,0.02186,0.3869,0.006785,0.019419
1,0.027643,0.99839,0.021265,0.0081263
1,0.027234,0.026182,0.0078438,0.0064277
1,0.014159,0.45288,0.0078573,0.013628
1,0.0087049,0.07741,0.010376,0.015472
1,0.011948,0.47058,0.0077865,0.016734
1,0.02304,0.96699,0.011631,0.0010609
1,0.35935,0.7015,0.0097721,0.013643
1,0.019511,0.93777,0.0078849,0.0072168
1,0.012367,0.9986,0.0067515,0.015427
1,0.23826,0.12772,0.0070292,0.0064377
1,0.015042,0.2687,0.0078832,0.027022
1,0.013371,0.99797,0.0083701,0.19547
1,0.0064929,0.5686,0.0088232,0.014311
1,0.047094,0.12922,0.0077676,0.006987
1,0.19027,0.020253,0.013784,0.01755
1,0.0085543,0.99898,0.009034,0.0084492
1,0.027897,0.23097,0.0091637,0.0060785
1,0.031323,0.22265,0.0084192,0.019979
1,0.0159,0.06983,0.0071586,0.015688
1,0.015489,0.070694,0.0066721,0.0062547
1,0.0051808,0.99712,0.01809,0.012081
1,0.08669,0.0268,0.010063,0.017024
1,0.0052441,0.045371,0.011245,0.0065872
1,0.17208,0.061517,0.0077306,0.0077566
1,0.035293,0.14597,0.0059814,0.013881
1,0.0089909,0.17702,0.0098756,0.026242
1,0.031403,0.93858,0.0080305,0.022075
1,0.063764,0.73913,0.015127,0.0051448
1,0.020861,0.16031,0.0092351,0.0091428
1,0.0038352,0.99756,0.0072283,0.025114
1,0.014237,0.71328,0.0092202,0.012519
1,0.015085,0.16108,0.0081443,0.014629
1,0.0086495,0.17856,0.0087296,0.088156
1,0.017338,0.8049,0.006699,0.0048921
1,0.026988,0.61229,0.011104,0.0074049
1,0.0066502,0.91602,0.0085381,0.037574
1,0.009467,0.96219,0.0064664,0.0088589
1,0.16141,0.95864,0.0080915,0.02152
1,0.082453,0.99904,0.007266,0.0050548
1,0.37714,0.69762,0.035111,0.010663
1,0.047629,0.0165,0.015021,0.013571
1,0.023081,0.1284,0.0068613,0.026252
1,0.07362,0.55701,0.0064809,0.029457
1,0.135,0.15985,0.0068867,0.014121
1,0.066902,0.79711,0.0088245,0.0066907
1,0.019859,0.30407,0.0082132,0.014914
1,0.025943,0.012243,0.0096716,0.011423
1,0.013873,0.51962,0.0062067,0.025375
1,0.0086504,0.04144,0.0066904,0.031492
1,0.072607,0.10078,0.006408,0.0069988
1,0.013086,0.03024,0.019493,0.01783
1,0.081684,0.99807,0.0072188,0.0053317
1,0.020354,0.069348,0.0078847,0.018182
1,0.038512,0.60547,0.012189,0.007523
1,0.042628,0.017544,0.0089042,0.014375
1,0.062338,0.069477,0.0080832,0.014242
1,0.0084275,0.030858,0.0087082,0.013412
1,0.0056458,0.020529,0.0093975,0.0036625
1,0.018707,0.031754,0.0094486,0.020203
1,0.19381,0.047545,0.0075194,0.0092658
1,0.00856,0.098463,0.0070404,0.013541
1,0.035277,0.33846,0.01299,0.013706
1,0.011616,0.13855,0.0068466,0.015359
1,0.016426,0.99703,0.011127,0.010991
1,0.29772,0.92275,0.0064935,0.019815
1,0.0051808,0.99634,0.01835,0.0085475
1,0.088236,0.1274,0.0081495,0.013062
1,0.010439,0.99974,0.0099643,0.011223
1,0.38815,0.072724,0.007415,0.021483
1,0.040364,0.99839,0.0068129,0.0064844
1,0.0096018,0.97515,0.0086808,0.0077629
1,0.019856,0.91904,0.0064954,0.018846
1,0.11857,0.090977,0.0074356,0.10918
1,0.015402,0.96222,0.0069455,0.0081941
1,0.015306,0.96739,0.016904,0.033842
1,0.5167,0.9628,0.010267,0.006715
1,0.10306,0.063536,0.011552,0.011354
1,0.020178,0.082831,0.24229,0.025175
1,0.016156,0.88835,0.0096623,0.0096671
1,0.056813,0.96099,0.0090412,0.017399
1,0.010535,0.38734,0.0089294,0.013857
1,0.23313,0.9998,0.008792,0.016037
1,0.0041022,0.28641,0.0087695,0.0090065
1,0.063754,0.9986,0.0067655,0.10304
1,0.020671,0.071535,0.0074916,0.022422
1,0.0051808,0.27641,0.0097802,0.0064144
1,0.01291,0.091371,0.0098324,0.012534
1,0.012612,0.14822,0.0073511,0.01033
1,0.32054,0.99594,0.0082837,0.022071
1,0.15991,0.074102,0.0086679,0.0061709
1,0.027813,0.047403,0.0089401,0.014426
1,0.013412,0.016053,0.0065386,0.011142
0,0.0050308,0.01386,0.0063522,0.0056036
0,0.0047021,0.039014,0.0059227,0.0053395
0,0.0045672,0.020958,0.0063967,0.0019088
0,0.0029518,0.016647,0.00629,0.0054165
0,0.0036277,0.024819,0.0063247,0.0056287
0,0.0074474,0.027376,0.0051901,0.0053533
0,0.0037095,0.029513,0.0061235,0.0057504
0,0.0027167,0.013802,0.006625,0.0057705
0,0.0035034,0.0062098,0.0064828,0.0049575
0,0.0024508,0.0036624,0.0073171,0.0053268
0,0.0083876,0.087175,0.0063693,0.0047896
0,0.0047872,0.012675,0.0067099,0.0050784
0,0.003403,0.037078,0.0064404,0.0050288
0,0.004705,0.0073182,0.0061044,0.0060621
0,0.0060201,0.022571,0.0063023,0.0043323
0,0.017736,0.013188,0.0066124,0.0054277
0,0.0039782,0.025626,0.0074282,0.0052905
0,0.0031577,0.008689,0.0064727,0.0062133
0,0.0043834,0.035625,0.0064334,0.0060833
0,0.0036971,0.0073908,0.006041,0.010365
0,0.0015972,0.014278,0.0063311,0.0036216
0,0.0039983,0.0083716,0.0064245,0.0038407
0,0.0048725,0.027561,0.0059903,0.002927
0,0.0070906,0.0088954,0.0064583,0.011365
0,0.0043818,0.0090699,0.0034715,0.0063457
0,0.0034432,0.036328,0.0063001,0.0069814
0,0.0052253,0.024281,0.0064244,0.0064532
0,0.0070888,0.024832,0.0055633,0.0039287
0,0.0061907,0.015875,0.0062946,0.0061218
0,0.0028168,0.0056262,0.005918,0.0067342
0,0.0065327,0.70117,0.0065329,0.006045
0,0.0055414,0.034336,0.0064572,0.0044696
0,0.0040801,0.017138,0.006579,0.0058112
0,0.0044575,0.0096326,0.0061718,0.0026781
0,0.0089369,0.017649,0.0063078,0.0093111
0,0.0029698,0.032347,0.0061525,0.004739
0,0.0035505,0.0069818,0.0025669,0.0054959
0,0.0044359,0.016178,0.0064078,0.0047779
0,0.0051808,0.014971,0.0082054,0.0056314
0,0.0026261,0.01272,0.0057927,0.0047874
0,0.0024709,0.025763,0.006848,0.0067184
0,0.0045375,0.031931,0.0063711,0.0051577
0,0.0046487,0.010207,0.0058297,0.0061329
0,0.0051097,0.013977,0.006697,0.0062191
0,0.004111,0.022725,0.0063413,0.0068599
0,0.0022806,0.0090217,0.0060357,0.0067688
0,0.0051808,0.021309,0.0064756,0.0074127
0,0.0046557,0.016057,0.0064323,0.0027879
0,0.0033383,0.0063076,0.0059551,0.0041642
0,0.0014302,0.027044,0.0064406,0.0049055
0,0.0035318,0.023402,0.0057642,0.0058763
0,0.0025189,0.021674,0.006462,0.0035654
0,0.0050289,0.017266,0.0065434,0.0053787
