Real,ADJ,CMC,CPL,VERB
1,0.147,0.080714,0.36512,0.13689
1,0.30499,0.99927,0.086628,0.11582
1,0.78595,0.84322,0.2535,0.25692
1,0.22212,0.99333,0.49334,0.61703
1,0.2388,0.33363,0.075363,0.34559
1,0.073242,0.98917,0.99846,0.47201
1,0.23397,0.87233,0.053223,0.16424
1,0.73041,0.99541,0.41287,0.43254
1,0.39536,0.96144,1,0.66845
1,0.75778,0.92452,0.12668,0.87196
1,0.32856,0.96514,0.040531,0.036975
1,0.94427,0.38135,0.232,0.42573
1,0.92131,0.9574,0.24334,0.065561
1,0.8988,0.93115,0.14866,0.39162
1,0.35994,0.5287,0.064165,0.54113
1,0.16755,0.26301,0.15334,0.65199
1,0.74869,0.59755,0.37854,0.2462
1,0.8062,0.99705,0.27166,0.61099
1,0.078571,0.67323,0.074132,0.26625
1,0.66451,0.097164,0.29715,0.49315
1,0.22943,0.20028,0.281,0.24379
1,0.060747,0.91773,0.16899,0.99212
1,0.68632,0.40189,0.23052,0.83143
1,0.14176,0.76961,0.31104,0.90267
1,0.78794,0.017457,0.3734,0.797
1,0.44884,0.18445,0.21997,0.74753
1,0.086985,0.9911,0.99953,0.013268
1,0.00070655,0.83025,0.1601,0.52821
1,0.38855,0.88268,0.29445,0.31141
1,0.25253,0.98471,0.42237,0.75074
1,0.060747,0.99631,0.85538,0.80558
1,0.99865,0.98208,0.049637,0.5951
1,0.21464,0.78228,0.19571,0.49443
1,0.1138,0.81174,0.54037,0.863
1,0.94166,0.97066,0.23542,0.26767
1,0.56952,0.62811,0.35583,0.53365
1,0.39881,0.067052,0.28773,0.63004
1,0.50627,0.71615,0.64168,0.089943
1,0.43187,0.49118,0.26851,0.7252
1,0.59834,0.70464,0.11352,0.18213
1,0.92278,0.99211,0.45902,0.45227
1,0.48162,0.14325,0.34,0.76027
1,0.56849,0.98589,0.067955,0.7599
1,0.51416,0.60055,0.85802,0.3182
1,0.89674,0.98058,0.051639,0.072385
1,0.060747,0.9351,0.092786,0.032028
1,0.59728,0.41724,0.053953,0.4802
1,0.42314,0.15606,0.37466,0.025157
1,0.79681,0.97822,0.91962,0.2269
1,0.45653,0.094044,0.74918,0.097212
1,0.27678,0.10465,0.19771,0.34447
1,0.050568,0.043839,0.59666,0.47396
1,0.39248,0.26954,0.13172,0.42875
1,0.16381,0.62931,0.17001,0.065427
1,0.50554,0.79229,0.35972,0.55314
1,0.32581,0.25602,0.48438,0.55394
1,0.34628,0.80459,0.069933,0.18032
1,0.11526,0.65854,0.43722,0.048023
1,0.98444,0.81543,0.16484,0.16374
1,0.7324,0.9419,0.9915,0.095422
1,0.98274,0.99971,0.48694,0.70565
1,0.39451,0.99444,0.41068,0.39575
1,0.063701,0.96146,0.18066,0.49174
1,0.54209,0.76498,0.48944,0.16639
1,0.32645,0.71714,0.2818,0.26766
1,0.58723,0.9974,0.86832,0.40716
1,0.15495,0.075513,0.9913,0.63613
1,0.36035,0.33792,0.18816,0.25369
1,0.64415,0.92761,0.50167,0.16055
1,0.21255,0.38998,0.64139,0.64949
1,0.3255,0.97264,0.15427,0.52577
1,0.060747,0.9981,0.14407,0.25611
1,0.20179,0.82812,0.1251,0.16861
1,0.029145,0.84706,0.26481,0.051059
1,0.81899,0.14958,0.19063,0.83682
1,0.29133,0.55211,0.97142,0.89916
1,0.4983,0.80214,0.11002,0.48174
1,0.52929,0.41676,0.23091,0.072385
1,0.79255,0.68796,0.39982,0.5233
1,0.79592,0.93702,0.060132,0.99172
1,0.72961,0.97918,0.3112,0.031603
1,0.93854,0.97974,0.13327,0.89794
1,0.068229,0.052087,0.16489,0.20688
1,0.2719,0.94766,0.83698,0.67523
1,0.18294,0.033055,0.21046,0.10049
1,0.18515,0.99004,0.1088,0.2918
1,0.16066,0.94659,0.45641,0.51027
1,0.92174,0.99118,0.18491,0.072385
1,0.9947,0.96002,0.23664,0.56099
1,0.4223,0.64489,0.06015,0.23392
1,0.16219,0.72175,0.074051,0.78625
1,0.085571,0.83156,0.080342,0.10002
1,0.25839,0.96441,0.084085,0.052247
1,0.64654,0.51308,0.06771,0.67852
1,0.91017,0.34008,0.11571,0.16487
1,0.34118,0.84646,0.13849,0.77004
1,0.060747,0.97102,0.10254,0.074681
1,0.98896,0.72648,0.30083,0.96223
1,0.77535,0.28878,0.99534,0.3481
1,0.50689,0.72328,0.079598,0.38853
1,0.02335,0.19903,0.99411,0.14414
1,0.074006,0.32377,0.30133,0.072385
1,0.23932,0.95665,0.44937,0.48901
1,0.060747,0.44148,0.1663,0.12231
1,0.83378,0.87706,0.089984,0.19205
1,0.43717,0.98124,0.072524,0.63538
1,0.0030637,0.98814,0.17032,0.13035
1,0.65794,0.51035,0.11834,0.14823
1,0.072424,0.32988,0.91888,0.14967
1,0.99034,0.89695,0.60052,0.73552
1,0.0066595,0.62388,0.5779,0.10113
1,0.11512,0.15343,0.2969,0.16087
1,0.37241,0.99093,0.98965,0.62307
1,0.51135,0.30431,0.99852,0.33257
1,0.81145,0.43118,0.57247,0.11248
1,0.9179,0.94075,0.3171,0.14745
1,0.0067761,0.97947,0.079034,0.1595
1,0.64965,0.94274,0.081071,0.41987
1,0.75512,0.23253,0.14794,0.42943
1,0.30791,0.44791,0.4188,0.096189
1,0.41401,0.53468,0.11025,0.73803
1,0.74712,0.92897,0.41367,0.11919
1,0.069139,0.98969,0.74617,0.14469
1,0.26954,0.45129,0.37315,0.13544
1,0.97407,0.86548,0.090881,0.08953
1,0.98999,0.21994,0.37655,0.62486
1,0.05084,0.37967,0.38838,0.2865
1,0.23507,0.88321,0.35817,0.11446
1,0.56758,0.62694,0.52452,0.30705
1,0.24879,0.035373,0.051921,0.56345
1,0.19918,0.78059,0.058315,0.25528
1,0.84959,0.24764,0.88299,0.11051
1,0.27118,0.052404,0.072229,0.70398
1,0.47826,0.79494,0.44035,0.50203
1,0.39103,0.99682,0.1339,0.18173
1,0.77682,0.98908,0.25252,0.21267
1,0.86418,0.78483,0.49478,0.041509
1,0.34586,0.99724,0.11385,0.69448
1,0.5273,0.86941,0.94821,0.61152
1,0.41448,0.013257,0.27712,0.72706
1,0.087206,0.32478,0.60668,0.11625
1,0.021732,0.92642,0.6442,0.4993
1,0.57918,0.96706,0.10655,0.26598
1,0.41654,0.99748,0.17616,0.12446
1,0.26806,0.28951,0.10437,0.24806
1,0.66698,0.33866,0.10882,0.39417
1,0.094377,0.96307,0.221,0.91444
1,0.85969,0.10416,0.19175,0.67191
1,0.060747,0.97529,0.24206,0.30753
1,0.37649,0.79527,0.090582,0.12947
1,0.30483,0.64014,0.1508,0.79415
1,0.5766,0.97867,0.47474,0.81647
1,0.77057,0.98971,0.085803,0.066821
1,0.22385,0.97984,0.055182,0.79803
1,0.35898,0.89288,0.20127,0.99441
1,0.61295,0.5676,0.1185,0.79014
1,0.13097,0.9742,0.55261,0.44407
1,0.7592,0.062591,0.84528,0.82087
1,0.93356,0.27447,0.060337,0.97685
1,0.92077,0.56867,0.089129,0.10612
1,0.65871,0.45075,0.37777,0.045725
1,0.057615,0.96566,0.16649,0.072385
1,0.72265,0.99449,0.25952,0.33296
1,0.62127,0.51795,0.16048,0.39683
1,1,0.99748,0.11343,0.3762
1,0.30918,0.3323,0.1338,0.23333
1,0.36382,0.14502,0.067951,0.86939
1,0.12895,0.99927,0.19183,0.64209
1,0.33243,0.99994,0.064413,0.59707
1,0.14141,0.87361,0.1253,0.094441
1,0.98552,0.96393,0.16276,0.82733
1,0.098229,0.66826,0.64876,0.21759
1,0.15966,0.61481,0.14914,0.13952
1,0.047868,0.71284,0.94015,0.37864
1,0.02487,0.98412,0.4464,0.015944
1,0.23524,0.99681,0.24385,0.046521
1,0.64711,0.88403,0.064242,0.34546
1,0.34081,0.99619,0.05769,0.67537
1,0.84649,0.027591,0.36118,0.98858
1,0.057554,0.97728,0.99962,0.53315
1,0.069608,0.97799,0.62849,0.91617
1,0.22018,0.99821,0.07156,0.24136
1,0.16513,0.11114,0.15459,0.5121
1,0.098506,0.99181,0.24753,0.096494
1,0.70758,0.95242,0.61605,0.47982
1,0.060747,0.9785,0.13244,0.094847
1,0.2589,0.85607,0.11675,0.05861
1,0.2434,0.9388,0.98439,0.39085
1,0.03026,0.66937,0.22271,0.24895
1,0.71311,0.082355,0.078813,0.47341
1,0.66614,0.99009,0.084626,0.060354
1,0.053889,0.98925,0.95155,0.6952
1,0.30795,0.010416,0.4603,0.40283
1,0.96526,0.99895,0.17684,0.58591
1,0.68058,0.46497,0.36029,0.11048
1,0.95716,0.89375,0.067533,0.16639
1,0.021839,0.83364,0.15108,0.24521
1,0.84524,0.74185,0.17404,0.31441
1,0.39528,0.27702,0.084759,0.84498
1,0.11195,0.081893,0.55901,0.16329
1,0.2666,0.46562,0.7529,0.75865
1,0.79542,0.99369,0.14595,0.15006
1,0.73837,0.99766,0.23519,0.72666
1,0.36733,0.38652,0.99956,0.14063
1,0.47186,0.9354,0.9718,0.17355
1,0.25036,0.85537,0.78289,0.285
1,0.99991,0.99295,0.13216,0.7131
1,0.43831,0.96048,0.21356,0.3053
1,0.19253,0.67182,0.7049,0.30766
1,0.48173,0.98194,0.10623,0.13698
1,0.15114,0.99875,0.13296,0.40513
1,0.36277,0.055516,0.11681,0.37493
1,0.571,0.99571,0.17583,0.52795
1,0.60673,0.26843,0.091381,0.52293
1,0.45654,0.34637,0.57108,0.063936
1,0.65579,0.81561,0.37663,0.072385
1,0.7084,0.36102,0.56343,0.78643
1,0.96966,0.6115,0.58572,0.61296
1,0.38712,0.95218,0.17803,0.8105
1,0.29769,0.22324,0.10073,0.971
1,0.099447,0.95574,0.20782,0.39217
1,0.94978,0.15447,0.15962,0.69086
1,0.71871,0.99957,0.95363,0.40449
1,0.63244,0.7887,0.1567,0.054532
1,0.99997,0.99849,0.46334,0.10435
1,0.93524,0.97608,0.94623,0.35797
1,0.8689,0.99408,0.58324,0.16898
1,0.41527,0.96863,0.11154,0.072385
1,0.99605,0.86031,0.068889,0.84489
1,0.28576,0.94392,0.088512,0.054103
1,0.90416,0.58461,0.8145,0.99997
1,0.198,0.28405,0.18366,0.69147
1,0.21822,0.99946,0.36802,0.61954
1,0.13238,0.73509,0.17486,0.8586
1,0.8363,0.070265,0.11957,0.10116
1,0.18105,0.21633,0.22068,0.60678
1,0.71127,0.95517,0.10138,0.12353
1,0.54261,0.11002,0.36188,0.61579
1,0.2507,0.54508,0.31283,0.36023
1,0.46716,0.99769,0.2692,0.31823
1,0.62987,0.49307,0.38742,0.05837
1,0.30104,0.96504,0.35339,0.697
1,0.087732,0.88361,0.91019,0.237
1,0.5449,0.9394,0.080137,0.12224
1,0.023872,0.98913,0.052766,0.081847
1,0.32655,0.051437,0.25322,0.30203
1,0.78471,0.9969,0.40736,0.64566
1,0.66899,0.9351,0.26298,0.29454
1,0.6288,0.95707,0.06102,0.83485
1,0.42023,0.46166,0.043659,0.25443
