Real,ADJ,CMC,CPL,VERB
1,0.034136,0.59307,0.10393,0.13865
1,0.12671,0.55387,0.13491,0.36587
1,0.36472,0.31803,0.036788,0.10882
1,0.41503,0.9057,0.019218,0.056653
1,0.071659,0.34281,0.054217,0.37909
1,0.03788,0.63543,0.18004,0.13809
1,0.11595,0.63966,0.25232,0.38813
1,0.12439,0.21836,0.11749,0.068166
1,0.033753,0.3622,0.94288,0.11149
1,0.10495,0.79463,0.11351,0.02189
1,0.1964,0.4344,0.077721,0.0083693
1,0.039238,0.726,0.079371,0.16548
1,0.10336,0.39453,0.091791,0.18106
1,0.11711,0.93055,0.2349,0.67998
1,0.59013,0.25245,0.39912,0.14536
1,0.086867,0.14663,0.1625,0.27863
1,0.32905,0.96487,0.031783,0.14716
1,0.13905,0.13061,0.03823,0.39836
1,0.18758,0.50378,0.17093,0.11149
1,0.28192,0.58398,0.24252,0.19928
1,0.036798,0.95402,0.13611,0.14808
1,0.10021,0.9185,0.18909,0.19197
1,0.15178,0.38181,0.077921,0.13837
1,0.1114,0.66723,0.062817,0.15844
1,0.049517,0.75767,0.45754,0.24241
1,0.13839,0.29996,0.10959,0.31756
1,0.081649,0.56805,0.058834,0.16623
1,0.9603,0.7646,0.081589,0.0306
1,0.12718,0.89494,0.15235,0.20281
1,0.051447,0.78064,0.90663,0.090865
1,0.044451,0.72511,0.11955,0.058779
1,0.028113,0.56384,0.13899,0.13757
1,0.09381,0.22826,0.027986,0.25983
1,0.68164,0.69465,0.094091,0.1255
1,0.99114,0.94378,0.45909,0.29242
1,0.19168,0.56498,0.3325,0.25913
1,0.095122,0.98331,0.08957,0.19877
1,0.1139,0.50216,0.097168,0.081124
1,0.39108,0.25866,0.10749,0.13589
1,0.075628,0.30283,0.036128,0.14009
1,0.047627,0.24363,0.12453,0.15115
1,0.29048,0.44806,0.88378,0.12848
1,0.97925,0.59716,0.054219,0.13574
1,0.25129,0.49351,0.19545,0.10957
1,0.089311,0.59391,0.93248,0.066523
1,0.13756,0.64604,0.15486,0.65248
1,0.60868,0.43803,0.1288,0.078212
1,0.17616,0.54536,0.58398,0.09592
1,0.04585,0.45706,0.092339,0.13653
1,0.11532,0.38275,0.99752,0.066123
1,0.11694,0.25139,0.028047,0.10845
1,0.071081,0.26607,0.052585,0.59465
1,0.99145,0.11112,0.35114,0.34752
1,0.9995,0.6046,0.83388,0.068799
1,0.13876,0.93978,0.14533,0.11453
1,0.039607,0.0017926,0.037034,0.018201
1,0.10587,0.45367,0.029358,0.1828
1,0.38468,0.32127,0.045563,0.060668
1,0.37704,0.48105,0.16185,0.12593
1,0.093521,0.99159,0.08604,0.10568
1,0.092405,0.51265,0.29271,0.14999
1,0.012751,0.4893,0.59438,0.19966
1,0.067401,0.083739,0.21689,0.11129
1,0.072605,0.12679,0.17135,0.10474
1,0.4329,0.55493,0.28775,0.029241
1,0.058619,0.024931,0.15978,0.12314
1,0.050184,0.68641,0.028648,0.060579
1,0.044681,0.023961,0.046635,0.053336
1,0.089961,0.95388,0.026213,0.061427
1,0.085136,0.97936,0.16556,0.61596
1,0.082938,0.65536,0.050487,0.097437
1,0.088482,0.6694,0.1292,0.058674
1,0.098188,0.14329,0.17426,0.13315
1,0.042443,0.73966,1,0.16948
1,0.23921,0.94313,0.028892,0.049194
1,0.070987,0.66798,0.043374,0.10782
1,0.093882,0.94953,0.066199,0.20689
1,0.11663,0.47219,0.31592,0.34813
1,0.37977,0.52671,0.20394,0.11457
1,0.17855,0.004607,0.95387,0.29497
1,0.23052,0.25114,0.16221,0.078848
1,0.11803,0.35982,0.77512,0.12296
1,0.20821,0.089175,0.71546,0.1607
1,0.19011,0.39886,0.11155,0.078392
1,0.061425,0.42514,0.019713,0.060321
1,0.03436,0.49102,0.013381,0.099061
1,0.1183,0.71856,0.22642,0.080334
1,0.16466,0.68377,0.19206,0.052075
1,0.12781,0.14355,0.99974,0.42116
1,0.20995,0.92308,0.17777,0.11087
1,0.074472,0.46991,0.64545,0.16362
1,0.14024,0.97963,0.17461,0.13881
1,0.020608,0.74098,0.55337,0.11711
1,0.096707,0.40813,0.24447,0.11956
1,0.10444,0.61309,0.13042,0.027028
1,0.16054,0.72118,0.030232,0.87031
1,0.15597,0.87952,0.21495,0.51119
1,0.081194,0.87115,0.027601,0.13437
1,0.127,0.37859,0.031023,0.14453
1,0.082489,0.20421,0.085468,0.078221
1,0.70904,0.92524,0.12422,0.30245
1,0.44761,0.25385,0.94835,0.31405
1,0.080968,0.87855,0.13841,0.10338
1,0.030481,0.54632,0.045725,0.14514
1,0.69865,0.29688,0.047486,0.10163
1,0.08471,0.15864,0.091103,0.16144
1,0.094835,0.41093,0.12584,0.15186
1,0.55455,0.29755,0.027525,0.074908
1,0.069143,0.30159,0.59756,0.14386
1,0.10368,0.40258,0.26931,0.67817
1,0.05308,0.60148,0.068785,0.13729
1,0.11315,0.99008,0.32192,0.061309
1,0.10012,0.76407,0.046472,0.083576
1,0.45388,0.022858,0.067694,0.16726
1,0.70848,0.63761,0.11604,0.1369
1,0.083379,0.70492,0.37366,0.24451
1,0.059135,0.94907,0.17327,0.067781
1,0.43581,0.95928,0.27798,0.11131
1,0.21685,0.52324,0.13528,0.22125
1,0.14634,0.9065,0.37829,0.19292
1,0.040114,0.75544,0.047817,0.092269
1,0.089974,0.20273,0.38023,0.11909
1,0.078426,0.68263,0.031501,0.086937
1,0.27506,0.61406,0.41846,0.046792
1,0.39326,0.72532,0.96836,0.079488
1,0.4138,0.603,0.17785,0.12244
1,0.074221,0.29613,0.9252,0.15243
1,0.12398,0.45488,0.37123,0.24454
1,0.23631,0.24374,0.08332,0.98805
1,0.4692,0.4209,0.44468,0.075453
1,0.54754,0.57585,0.11416,0.12199
1,0.11478,0.27834,0.91002,0.12146
1,0.14253,0.99513,0.26714,0.12075
1,0.064048,0.47183,0.069281,0.02605
1,0.98885,0.33743,0.17598,0.12163
1,0.19708,0.45475,0.14897,0.086037
1,0.072556,0.66674,0.19185,0.15354
1,0.59097,0.47538,0.15349,0.078963
1,0.045721,0.5926,0.27405,0.096299
1,0.4039,0.099513,0.35086,0.11626
1,0.053004,0.79235,0.014359,0.16437
1,0.06607,0.90649,0.01738,0.20259
1,0.11037,0.62704,0.6978,0.21436
1,0.20003,0.61119,0.14028,0.26856
1,0.057079,0.46279,0.21271,0.14512
1,0.3437,0.64907,0.51178,0.032152
1,0.032365,0.091999,0.13908,0.13632
1,0.15877,0.69562,0.20377,0.57929
1,0.032488,0.49826,0.15318,0.065095
1,0.08532,0.73267,0.655,0.10148
1,0.34426,0.35807,0.21869,0.16227
1,0.029817,0.45546,0.062973,0.13769
1,0.041728,0.38454,0.022317,0.26298
1,0.028222,0.31737,0.49973,0.10297
1,0.04862,0.59108,0.10615,0.18621
1,0.2423,0.23197,0.64389,0.24267
1,0.21048,0.24778,0.44481,0.13336
1,0.059165,0.56927,0.015146,0.073658
1,0.0761,0.59007,0.31177,0.046466
1,0.11833,0.92884,0.050984,0.022011
