Real,ADJ,CMC,CPL,VERB
1,0.36211,0.79953,0.99968,0.43478
1,0.81336,0.97911,0.78359,0.92373
1,0.8962,0.64281,0.99812,0.98078
1,0.15698,0.84195,0.16782,0.38966
1,0.66952,0.034051,0.70091,0.92299
1,0.63878,0.9348,0.76158,0.012201
1,0.99615,0.05282,0.63271,0.61719
1,0.80491,0.0045892,0.3542,0.91298
1,0.46544,0.85725,0.48516,0.11332
1,0.098611,0.52197,0.43768,0.44234
1,0.032757,0.78499,0.71014,0.11089
1,0.43751,0.064846,0.60353,0.72914
1,0.16015,0.87701,0.13585,0.25471
1,0.89478,0.97735,0.5475,0.76429
1,0.037062,0.32962,0.61834,0.15649
1,0.094309,0.0039857,0.959,0.038788
1,0.27668,0.079036,0.94809,0.47702
1,0.91721,0.67292,0.2677,0.021116
1,0.26481,0.13735,0.26508,0.17649
1,0.99997,0.0082025,0.31413,0.91335
1,0.074091,0.32991,0.37348,0.3997
1,0.97095,0.90991,0.37339,0.12604
1,0.27569,0.043492,0.81056,0.99158
1,0.033841,0.80601,0.5317,0.14656
1,0.53568,0.20918,0.38287,0.24727
1,0.99962,0.011235,0.32239,0.32323
1,0.035695,0.21257,0.58832,0.45719
1,0.40408,0.94226,0.93687,0.58557
1,0.1605,0.67294,0.05079,0.25852
1,0.2607,0.88816,0.16521,0.42022
1,0.28393,0.72896,0.033607,0.33494
1,0.99727,0.20433,0.84615,1
1,0.344,0.67399,0.21657,0.36575
1,0.058129,0.081611,0.71094,0.073397
1,0.079368,0.011622,0.29945,0.79131
1,0.80215,0.05587,0.86452,0.4402
1,0.033841,0.94613,0.76099,0.068596
1,1,0.97631,0.97737,0.37458
1,0.57218,0.99995,0.99976,0.75685
1,0.36761,0.65248,0.24444,0.02207
1,0.65613,0.067607,0.23962,0.49679
1,0.19383,0.88754,0.75922,0.97109
1,0.054147,0.017261,0.29181,0.08941
1,0.27781,0.95979,0.76183,0.9932
1,0.018404,0.87019,0.036384,0.86518
1,0.8185,0.89792,0.27225,0.80349
1,0.7661,0.88426,0.13238,0.031512
1,0.10262,0.75531,0.76863,0.05533
1,0.96444,0.94166,0.14985,0.63558
1,0.033841,0.0084982,0.87155,0.038061
1,0.013934,0.012223,0.72645,0.18803
1,0.041498,0.010441,0.60126,0.24396
1,0.065885,0.28265,0.46103,0.77158
1,0.23661,0.91056,0.28044,0.27443
1,0.99933,0.087743,0.096846,0.3449
1,0.99857,0.11735,0.87402,0.31708
1,0.1788,0.43392,0.74499,0.27403
1,0.033841,0.7652,0.18433,0.070501
1,0.94635,0.45612,0.83726,0.17905
1,0.03648,0.43508,0.45075,0.51563
1,0.038549,0.18812,0.24186,0.27688
1,0.47368,0.047508,0.60791,0.24982
1,0.29284,0.84991,0.20728,0.94882
1,0.8308,0.9781,0.39042,0.96995
1,0.42539,0.14403,0.11869,0.74594
1,1,0.062263,0.98264,0.054198
1,0.16251,0.53698,0.92032,0.85038
1,0.68456,0.78293,0.78388,0.8529
1,0.99979,0.028096,0.089818,0.22737
1,0.89833,0.99993,0.23992,0.66342
1,0.58764,0.99591,0.088347,0.027104
1,0.44915,0.8486,0.033601,0.84443
1,0.033841,0.024666,0.97629,0.48718
1,0.87421,0.96984,0.73597,0.43574
1,0.09347,0.015998,0.91186,0.16441
1,0.56252,0.061096,0.045068,0.95979
1,0.033841,0.98225,0.93596,0.32877
1,0.054602,0.0065512,0.18047,0.4687
1,0.071313,0.91473,0.85169,0.91811
1,0.99641,0.0067588,0.94932,0.085275
1,0.74699,0.80526,0.032967,0.17602
1,0.31179,0.99989,0.22018,0.16461
1,0.058056,0.81541,0.96681,0.17707
1,0.033841,0.99403,0.067417,0.83029
1,0.33174,0.70908,0.13206,0.66054
1,0.033841,0.91084,0.74497,0.76501
1,0.16539,0.86164,0.35846,0.67657
1,0.033841,0.99167,0.97855,0.17577
1,0.49201,0.044894,0.97132,0.84009
1,0.81929,0.035781,0.87022,0.25298
1,0.039658,0.99998,0.43576,0.084085
1,0.75947,0.85241,0.15948,0.30848
1,0.033841,0.93129,0.39034,0.25065
1,0.41789,0.78109,0.20966,0.31377
1,0.99554,0.82903,0.52445,0.18169
1,0.067607,0.34447,0.11997,0.11309
1,0.44757,0.98163,0.95881,0.030219
1,0.11197,0.31866,0.6853,0.63558
1,0.99937,0.94107,0.52067,0.83898
1,0.14024,0.26655,0.020779,0.81892
1,0.065308,0.99426,0.19734,0.91137
1,0.34615,0.86791,0.63971,0.28725
1,0.2459,0.003124,0.16683,0.015244
1,0.066326,0.016061,0.17131,0.02207
1,0.55173,0.023057,0.13869,0.035296
1,0.5176,0.049514,0.49115,0.36495
1,0.079951,0.94395,0.96411,0.11158
1,0.22256,0.88953,0.15563,0.93508
1,0.69844,0.97927,0.2082,0.92227
1,0.87034,0.28308,0.6116,0.93113
1,0.1567,0.12396,0.96275,0.026821
1,0.14172,0.91771,0.49728,0.14642
1,0.093454,0.012652,0.77436,0.97036
1,0.074991,0.016006,0.051678,0.53152
1,0.2212,0.94575,0.027989,0.016355
1,0.0079073,0.2488,0.69614,0.47115
1,0.99927,0.99999,0.98301,0.049386
1,0.13092,0.2869,0.093024,0.29739
1,0.031576,0.009396,0.038599,0.20756
1,0.063018,0.99995,0.67204,0.064784
1,0.46965,0.93903,0.72563,0.26665
1,0.98546,0.74752,0.5067,0.19676
1,0.046538,0.040785,0.022601,0.99882
1,0.087657,0.0041248,0.94413,0.10856
1,0.17371,0.99413,0.16333,0.85481
1,0.5231,0.89398,0.79002,0.78963
1,0.41171,0.022886,0.11621,0.019931
1,0.30731,0.99995,0.99658,0.49589
1,0.95632,0.034857,0.95328,0.77132
1,0.00052781,0.0020538,0.023805,0.95979
1,0.056029,0.81576,0.075084,0.19049
1,0.77315,0.86458,0.51024,0.03235
1,0.98621,0.28904,0.022041,0.1466
