Real,ADJ,CMC,CPL,VERB
1,0.015364,0.07364,0.024732,0.074729
1,0.28022,0.018156,0.037832,0.050263
1,0.015676,0.99962,0.019659,0.040159
1,0.049328,0.034719,0.37657,0.055454
1,0.13713,0.39936,0.014021,0.039014
1,0.036721,0.015502,0.11342,0.022027
1,0.06018,0.089956,0.59838,0.016991
1,0.084017,0.0258,0.19728,0.7027
1,0.1575,0.95041,0.5937,0.097296
1,0.18767,0.5676,0.2685,0.33198
1,0.046688,0.99362,0.10337,0.13771
1,0.073818,0.46589,0.015815,0.014577
1,0.085845,0.99316,0.78282,0.078843
1,0.011966,0.10933,0.99501,0.56513
1,0.081438,0.38742,0.013957,0.96659
1,0.030065,0.98981,0.04976,0.016183
1,0.095894,0.038188,0.020778,0.010346
1,0.10879,0.93575,0.32179,0.93732
1,0.049691,0.11514,0.064217,0.08144
1,0.029543,0.8173,0.28879,0.009567
1,0.010935,0.99281,0.02582,0.054378
1,0.0064978,0.051725,0.016212,0.74513
1,0.14195,0.020066,0.49143,0.36916
1,0.17808,0.39833,0.020294,0.37812
1,0.080956,0.12429,0.14008,0.12084
1,0.3321,0.53442,0.040258,0.96385
1,0.070656,0.96591,0.014677,0.071449
1,0.047979,0.99695,0.02047,0.48253
1,0.063924,0.39019,0.13281,0.37562
1,0.085118,0.11672,0.023421,0.066162
1,0.050667,0.19868,0.033433,0.18259
1,0.032093,0.16626,0.050276,0.21181
1,0.038503,0.9684,0.27042,0.036064
1,0.035776,0.018204,0.013575,0.13446
1,0.63579,0.9496,0.27252,0.016452
1,0.025602,0.94788,0.034747,0.064816
1,0.21035,0.073578,0.18477,0.13716
1,0.12969,0.97822,0.25827,0.10215
1,0.13448,0.47135,0.01975,0.07253
1,0.089945,0.16654,0.5377,0.55966
1,0.1302,0.64723,0.30286,0.065304
1,0.58239,0.19562,0.070442,0.94278
1,0.068958,0.98851,0.01529,0.89693
1,0.045933,0.019151,0.04613,0.1343
1,0.14721,0.99869,0.87276,0.041586
1,0.011966,0.99885,0.05736,0.44213
1,0.084263,0.98894,0.11175,0.015715
1,0.039343,0.94626,0.030814,0.97579
1,0.21177,0.99901,0.022841,0.7133
1,0.054852,0.99811,0.2521,0.024222
1,0.15842,0.050935,0.23366,0.056045
1,0.041062,0.9956,0.10467,0.56933
1,0.076099,0.98728,0.014598,0.073546
1,0.024084,0.33641,0.096109,0.15731
1,0.011966,0.37888,0.062824,0.045678
1,0.080033,0.24885,0.044139,0.034447
1,0.017369,0.020301,0.014117,0.01352
1,0.031019,0.99237,0.037726,0.12194
1,0.020553,0.21632,0.016895,0.024827
1,0.20732,0.70457,0.10208,0.040229
1,0.26319,0.24527,0.027846,0.39719
1,0.087041,0.40437,0.47522,0.14123
1,0.028541,0.43668,0.23229,0.17692
1,0.040603,0.061529,0.025354,0.26902
1,0.080415,0.38209,0.13513,0.02642
1,0.023105,0.99391,0.03709,0.40847
1,0.038453,0.99937,0.1197,0.93764
1,0.33333,0.0081903,0.080803,0.66102
1,0.12479,0.29093,0.019181,0.029655
1,0.090114,0.38585,0.15401,0.046661
1,0.036506,0.019601,0.016666,0.046608
1,0.19805,0.23752,0.020193,0.20026
1,0.26039,0.99616,0.21007,0.065955
1,0.24896,0.16657,0.020851,0.44403
1,0.037965,0.99702,0.017747,0.72259
1,0.0043348,0.13875,0.024027,0.89381
1,0.066944,0.99802,0.084435,0.38243
1,0.051517,0.99701,0.016821,0.95814
1,0.011966,0.99105,0.036017,0.05365
1,0.17261,0.98739,0.019867,0.59877
1,0.084977,0.2409,0.032634,0.017279
1,0.40278,0.39765,0.017059,0.10645
1,0.017177,0.07299,0.47295,0.038766
1,0.24327,0.83805,0.014716,0.076827
1,0.023863,0.16365,0.025801,0.042389
1,0.01404,0.6815,0.26411,0.015246
1,0.061817,0.68796,0.025214,0.027138
1,0.0076587,0.99699,0.064006,0.03927
1,0.46324,0.3637,0.019383,0.8612
1,0.0057019,0.031488,0.054976,0.06526
1,0.011002,0.049749,0.015277,0.50643
1,0.26558,0.77188,0.054151,0.046273
1,0.032332,0.99521,0.035968,0.30391
1,0.028039,0.97617,0.030719,0.04074
1,0.12528,0.26881,0.24998,0.95635
1,0.011579,0.98147,0.015961,0.017595
1,0.046577,0.12403,0.023391,0.93033
1,0.47646,0.99584,0.067121,0.067029
1,0.041175,0.14644,0.039856,0.99625
1,0.090145,0.13223,0.30064,0.84229
1,0.058484,0.98934,0.016124,0.18108
1,0.011983,0.036602,0.015792,0.40763
1,0.011966,0.99764,0.20051,0.21989
1,0.011966,0.055213,0.023451,0.10558
1,0.03268,0.33288,0.27607,0.014013
1,0.054069,0.99447,0.21007,0.045915
1,0.14366,0.34429,0.12162,0.013971
1,0.011966,0.63187,0.12549,0.041709
1,0.45944,0.83963,0.046513,0.86884
1,0.21716,0.7935,0.081557,0.65902
1,0.015243,0.99944,0.019885,0.087154
1,0.99884,0.39332,0.033704,0.073178
1,0.14679,0.019266,0.08095,0.041739
1,0.025922,0.00072843,0.8777,0.027179
1,0.52404,0.083247,0.0232,0.073467
1,0.22662,0.99177,0.048339,0.16331
1,0.072273,0.057027,0.13858,0.15118
1,0.059724,0.096265,0.042848,0.053353
1,0.1003,0.88112,0.10934,0.14449
1,0.086803,0.41599,0.10094,0.92192
1,0.011966,0.25012,0.10437,0.18964
1,0.017537,0.99813,0.06529,0.15484
1,0.12777,0.78267,0.32288,0.0083223
1,0.010307,0.017742,0.71574,0.54455
1,0.24609,0.95265,0.10266,0.13692
1,0.61689,0.81206,0.017287,0.024319
1,0.036422,0.50569,0.13027,0.29488
1,0.014808,0.97965,0.036564,0.028586
1,0.071194,0.99269,0.04982,0.017989
1,0.99988,0.34638,0.022109,1
1,0.032616,0.9766,0.11026,0.11334
1,0.030224,0.96886,0.14995,0.04475
1,0.025878,0.95917,0.034983,0.025684
1,0.16008,0.99077,0.02982,0.15305
1,0.044583,0.62835,0.043817,0.027965
1,0.020396,0.99192,0.06046,0.07722
1,0.16389,0.97945,0.15805,0.042124
1,0.076679,0.98419,0.043901,0.06608
1,0.2846,0.99453,0.13863,0.6113
1,0.069188,0.11249,0.11174,0.018306
1,0.011966,0.03576,0.037847,0.061546
1,0.22733,0.40908,0.053069,0.058059
1,0.032011,0.64897,0.028673,0.12732
1,0.29694,0.035438,0.015185,0.026068
1,0.020233,0.43822,0.070647,0.020167
1,0.14569,0.70427,0.22587,0.075069
1,0.08902,0.99847,0.10872,0.019024
1,0.011743,0.032913,0.023603,0.045815
1,0.37985,0.99821,0.015409,0.99999
1,0.20925,0.99444,0.016166,0.024045
1,0.089571,0.073528,0.85964,0.044545
1,0.044317,0.034815,0.211,0.04269
1,0.022236,0.072482,0.094576,0.85057
1,0.052406,0.14277,0.024115,0.099941
1,0.0017833,0.97919,0.20355,0.012042
1,0.43892,0.57268,0.018313,0.11567
1,0.74109,0.27308,0.14452,0.099849
1,0.24806,0.99441,0.13289,0.018533
1,0.053578,0.97823,0.047863,0.18837
1,0.30725,0.47723,0.020098,0.7176
1,0.010786,0.60694,0.038772,0.44987
1,0.26363,0.60585,0.014523,0.028328
1,0.060345,0.99145,0.026105,0.45089
1,0.12366,0.83782,0.013411,0.12441
1,0.029222,0.19663,0.57759,0.043658
1,0.28531,0.55518,0.2798,0.035507
1,0.48343,0.99212,0.027446,0.079889
1,0.27794,0.90833,0.47275,0.068902
1,0.047892,0.85086,0.16894,0.6601
1,0.07883,0.36682,0.041812,0.037905
1,0.48377,0.99044,0.06034,0.094662
1,0.058818,0.83151,0.036737,0.013736
1,0.095422,0.97455,0.016503,0.022375
1,0.038514,0.8355,0.10727,0.23149
1,0.041518,0.073194,0.061713,0.14654
1,0.11324,0.92617,0.91904,0.053656
1,0.0099954,0.99104,0.022069,0.42176
