Real,ADJ,CMC,CPL,VERB
1,0.07302,0.97972,0.0072401,0.0067433
1,0.0039637,0.20601,0.0081458,0.0092683
1,0.0039637,0.97819,0.0084527,0.026245
1,0.43579,0.99958,0.03045,0.020264
1,0.0065521,0.99967,0.048575,0.043478
1,0.51046,0.96732,0.0082893,0.0065425
1,0.010046,0.75935,0.0097781,0.010144
1,0.028573,0.97322,0.0052231,0.019698
1,0.0037029,0.48893,0.016888,0.0058235
1,0.031179,0.03909,0.010921,0.01393
1,0.10739,0.9995,0.010853,0.016721
1,0.050396,0.99964,0.023478,0.010466
1,0.033456,0.40664,0.0067496,0.4297
1,0.03169,0.97001,0.0091783,0.01355
1,0.086762,0.76185,0.010041,0.048698
1,0.25258,0.26527,0.015539,0.074535
1,0.12244,0.16293,0.011319,0.02047
1,0.0035138,0.60163,0.011773,0.0057493
1,0.0069824,0.28713,0.010098,0.0044417
1,0.040075,0.34934,0.037122,0.02339
1,0.039223,0.65619,0.018708,0.010044
1,0.0044579,0.99214,0.01024,0.0036431
1,0.0044052,0.99967,0.12703,0.040224
1,0.56561,0.88815,0.01189,0.029939
1,0.23548,0.99004,0.013463,0.009499
1,0.20031,0.074684,0.006995,0.0054983
1,0.02068,0.98172,0.049556,0.02772
1,0.073264,0.97604,0.086338,0.0081629
1,0.0093898,0.88037,0.015549,0.0075057
1,0.049254,0.99416,0.007079,0.014243
1,0.001982,0.41595,0.62944,0.015581
1,0.038787,0.15256,0.044506,0.011349
1,0.0052937,0.68533,0.017517,0.011061
1,0.0039637,0.98761,0.0053281,0.82198
1,0.0093919,0.87136,0.005835,0.02814
1,0.030588,0.55843,0.0070397,0.011678
1,0.005151,0.66605,0.0099535,0.0057545
1,0.0060332,0.26568,0.055539,0.0075856
1,0.0010474,0.091977,0.005426,0.0097482
1,0.0044697,0.99628,0.020403,0.0069218
1,0.16424,0.15615,0.014004,0.0038713
1,0.044753,0.42676,0.0048193,0.010325
1,0.011736,0.3799,0.013444,0.028638
1,0.04443,0.98803,0.0054233,0.0099891
1,0.15067,0.55275,0.04772,0.042424
1,0.18211,0.98782,0.017633,0.017553
1,0.045682,0.26276,0.0051024,0.0056438
1,0.0043591,0.99062,0.0072358,0.005694
1,0.0089825,0.62962,0.0069934,0.0054401
1,0.070661,0.99431,0.0075209,0.016332
1,0.044094,0.99432,0.019523,0.0082645
1,0.0099074,0.98067,0.02959,0.0029877
1,0.002974,0.18099,0.0084621,0.0087929
1,0.016092,0.98323,0.089442,0.047593
1,0.040866,0.99896,0.0045458,0.088004
1,0.60682,0.99714,0.0055586,0.013823
1,0.14741,0.9882,0.0085035,0.019011
1,0.0039701,0.26976,0.033086,0.0063677
1,0.56187,0.19019,0.036573,0.0057436
1,0.9587,0.18663,0.0046127,0.0037174
1,0.92879,0.99639,0.0078974,0.020169
1,0.030276,0.36812,0.019197,0.0079059
1,0.0042052,0.0052824,0.0055096,0.020247
1,0.0040037,0.60377,0.0045073,0.0056972
1,0.0046447,0.19203,0.67202,0.0078663
1,0.061936,0.98338,0.0088816,0.0056972
1,0.050826,0.98017,0.0061778,0.02179
1,0.0085069,0.99103,0.0049712,0.024181
1,0.12043,0.062158,0.0093857,0.063375
1,0.023981,0.19342,0.0086183,0.047412
1,0.16151,0.03026,0.0055744,0.024592
1,0.0027078,0.81709,0.0075344,0.021126
1,0.012385,0.35467,0.077537,0.091804
1,0.07956,0.99987,0.02,0.0048018
1,0.020349,0.99341,0.0087963,0.031087
1,0.0034671,0.97827,0.0095492,0.0063171
1,0.0039637,0.045517,0.15141,0.006601
1,0.12941,0.97646,0.0069687,0.015376
1,0.0084535,0.99965,0.012972,0.036071
1,4.8742e-05,0.22645,0.016636,0.0056956
1,0.011296,0.74656,0.0048916,0.022346
1,0.0039637,0.40322,0.042761,0.072296
1,0.10745,0.99769,0.0043473,0.0054267
1,0.79751,0.98139,0.017082,0.031283
1,0.0039637,0.99362,0.0049187,0.038292
1,0.060907,0.99956,0.010764,0.029315
1,0.03464,0.99969,0.0083281,0.0097754
1,0.058331,0.9753,0.014109,0.0045632
1,0.0053658,0.97339,0.025014,0.0079733
1,0.025593,0.45989,0.016576,0.25759
0,0.0031998,0.037289,0.0039905,0.0030799
0,0.0016742,0.0066468,0.0038583,0.0019596
0,0.0016436,0.0019236,0.0044414,0.0020405
0,0.0032456,0.0090864,0.0042867,0.0041683
0,0.0022481,0.0047772,0.0041585,0.0036002
0,0.0014448,0.0025853,0.004206,0.003082
0,0.0023911,0.0021331,0.0041119,0.003613
0,0.0010843,0.0016356,0.0039505,0.002695
0,0.0034237,0.011201,0.0043259,0.0035753
0,0.0027415,0.0079301,0.0038722,0.0033
0,0.0051939,0.0062362,0.0040847,0.0035069
0,0.0041913,0.023079,0.0042277,0.0030219
0,0.0022781,0.001298,0.0032523,0.0053753
0,0.002651,0.013278,0.0039157,0.00257
0,0.00065626,0.0033956,0.0043148,0.0039506
0,0.0030771,0.0013503,0.0041425,0.0035502
0,0.0019967,0.008435,0.0042246,0.0028242
0,0.003516,0.0044589,0.0047229,0.0025941
0,0.0017469,0.0092414,0.0057527,0.0035728
0,0.00088281,0.011854,0.002862,0.0030373
0,0.0039371,0.012592,0.0040845,0.0052469
0,0.0039637,0.005222,0.0041547,0.0037876
0,0.0017066,0.032,0.0044573,0.0030135
0,0.0025437,0.012451,0.00477,0.0042265
0,0.0021027,0.0017805,0.016625,0.0035716
0,0.0031871,0.0070107,0.0041468,0.0056473
0,0.0030794,0.00099473,0.0039201,0.0026939
0,0.0012275,0.007178,0.0033448,0.0044977
0,0.0012918,0.0086426,0.0039826,0.0050097
0,0.0012626,0.007494,0.002176,0.003498
0,0.0046408,0.0078392,0.0040933,0.0042939
0,0.003219,0.0055854,0.0051044,0.0036136
0,0.0020091,0.0046475,0.0038136,0.0035722
0,0.0029179,0.0026661,0.0039566,0.0054102
0,0.0031119,0.0054574,0.0030706,0.0054538
0,0.00082895,0.0099492,0.004065,0.0031731
0,0.0041209,0.0028671,0.0039243,0.0040396
0,0.0036371,0.0065491,0.0039777,0.0044924
0,0.0011423,0.0026461,0.0041435,0.0056882
0,0.0037438,0.027441,0.0039869,0.0034686
0,0.00306,0.0070156,0.0042301,0.0022758
0,0.0027881,0.0096022,0.0040165,0.0041797
0,0.003735,0.0031811,0.0041525,0.0029131
0,0.0026438,0.0095671,0.0040749,0.0056298
0,0.0029881,0.0019905,0.0039898,0.00361
0,0.0071978,0.0065764,0.0044956,0.003375
0,0.0021392,0.0027274,0.0041158,0.004061
0,0.0019611,0.019526,0.0040717,0.0039168
0,0.0013403,0.0014774,0.0039675,0.0037939
0,0.0049202,0.1077,0.0033079,0.0033472
0,0.0024325,0.0089269,0.0045342,0.0026619
0,7.3357e-05,0.0036292,0.0042522,0.0032947
0,0.0029209,0.040982,0.0050057,0.0040948
0,0.0031097,0.012534,0.0037172,0.0046887
0,0.0026107,0.0025188,0.0040537,0.0031132
0,0.0040945,0.017193,0.0040025,0.0041688
0,0.0025779,0.0041304,0.0041536,0.0056972
0,0.013564,0.0083107,0.0041007,0.003963
0,0.0034341,0.003379,0.0036696,0.0037275
0,0.0046569,0.0057183,0.0043904,0.0042388
0,0.0020352,0.0075976,0.0038167,0.0032726
0,0.0021516,0.020802,0.0046528,0.002625
0,0.0019043,0.0056666,0.0037358,0.0050261
0,0.0013567,0.0088601,0.0041574,0.00293
0,0.002544,0.0095654,0.0038046,0.0021593
