Real,ADJ,CMC,CPL,VERB
1,0.99062,0.98787,0.36486,0.28115
1,0.37705,0.9676,0.042183,0.29667
1,0.97752,0.9945,0.038062,0.99951
1,0.14789,0.72862,0.046304,0.16011
1,0.87234,0.93185,0.14681,0.11653
1,0.20808,0.98559,0.047423,0.10947
1,0.14092,0.84893,0.072146,0.073777
1,0.9381,0.99156,0.15877,0.10045
1,0.47247,0.93548,0.57551,0.96803
1,0.36581,0.99929,0.036519,0.99542
1,0.23342,0.98594,0.1104,0.048277
1,0.92811,0.93788,0.17421,0.14149
1,0.039769,0.87739,0.058876,0.58677
1,0.15991,0.99393,0.11679,0.24192
1,0.95788,0.93384,0.074782,0.13157
1,0.11481,0.99963,0.23964,0.087457
1,0.29062,0.48057,0.047289,0.32883
1,0.32344,0.74826,0.1056,0.92043
1,0.9748,0.90131,0.042959,0.057282
1,0.1599,0.81069,0.088574,0.028981
1,0.82074,0.91796,0.58146,0.64647
1,0.4436,0.9292,0.66985,0.11235
1,0.8468,0.83215,0.048776,0.97047
1,0.86562,0.95726,0.98765,0.15801
1,0.61603,0.82298,0.059363,0.092414
1,0.38867,0.9985,0.048731,0.87954
1,0.075719,0.95212,0.059305,0.99982
1,0.70256,0.94501,0.1099,0.98468
1,0.8058,0.97616,0.19727,0.62475
1,0.25664,0.99615,0.04635,0.89425
1,0.98348,0.85272,0.030212,0.64562
1,0.55577,0.9833,0.103,0.30365
1,0.040315,0.067288,0.05032,0.17548
1,0.45884,0.7673,0.075197,0.62788
1,0.25566,0.97551,0.43046,0.53093
1,0.056807,0.10233,0.13904,0.98
1,0.73378,0.93476,0.092275,0.15063
1,0.084854,0.73839,0.04747,0.98854
1,0.24927,0.99284,0.20563,0.8379
1,0.044732,0.98438,0.9705,0.14112
1,0.52072,0.9861,0.14799,0.22795
1,0.2712,0.99286,0.048168,0.27937
1,0.064982,0.9979,0.30056,0.44665
1,0.072843,0.83414,0.12721,0.50164
1,0.96767,0.99864,0.32682,0.66853
1,0.93834,0.89099,0.049167,0.17243
1,0.0096451,0.10871,0.3051,0.015802
1,0.44765,0.99863,0.64391,0.059733
1,0.10023,0.92109,0.047469,0.1163
1,0.079687,0.97864,0.086774,0.15918
1,0.57751,0.99737,0.45803,0.2606
1,0.65816,0.93484,0.056448,0.15714
1,0.38129,0.99202,0.1359,0.99481
1,0.072618,0.49551,0.046942,0.18394
1,0.99568,0.96878,0.042056,0.045606
1,0.99437,0.97174,0.047006,0.62101
1,0.88543,0.77933,0.06156,0.7964
1,0.34126,0.99704,0.057346,0.99331
1,0.9959,0.92611,0.071582,0.236
1,0.050664,0.21698,0.23422,0.27478
1,0.10627,0.98678,0.10706,0.98495
1,0.80864,0.98386,0.15546,0.26102
1,0.32003,0.96044,0.090022,0.50954
1,0.88161,0.83933,0.10295,0.42729
1,0.058162,0.81933,0.15853,0.34622
1,0.047325,0.99575,0.4851,0.29304
1,0.53468,0.99263,0.12834,0.13052
1,0.16281,0.99435,0.068329,0.2848
1,0.083687,0.079785,0.066883,0.17959
1,0.95016,0.89354,0.087749,0.99173
1,0.62572,0.032484,0.095146,0.97536
1,0.49828,0.9237,0.048095,0.080152
1,0.8662,0.8626,0.29497,0.46671
1,0.0099289,0.052767,0.068017,0.44476
1,0.23801,0.87876,0.066753,0.78476
1,0.95015,0.98354,0.062863,0.46275
1,0.89341,0.9403,0.063845,0.069804
1,0.19553,0.99593,0.06437,0.31661
1,0.98837,0.9871,0.0514,0.93221
1,0.50927,0.99336,0.10911,0.20347
1,0.058178,0.96746,0.054914,0.73903
1,0.90332,0.99483,0.046924,0.99822
1,0.050115,0.18568,0.959,0.089717
1,0.1859,0.99811,0.10182,0.156
1,0.092491,0.31592,0.035502,0.14715
1,0.16227,0.92444,0.099775,0.42325
1,0.099831,0.99537,0.038673,0.99977
1,0.36228,0.98106,0.037683,0.12772
1,0.62192,0.51475,0.074925,0.29687
1,0.001826,0.78278,0.055863,0.94399
1,0.97544,0.94009,0.82255,0.85881
1,0.059249,0.45274,0.77482,0.06007
1,0.3055,0.84734,0.090209,0.41892
1,0.2629,0.94696,0.67433,0.13126
1,0.35495,0.99891,0.27369,0.057056
1,0.94305,0.99149,0.1092,0.30745
1,0.13406,0.91572,0.09251,0.57912
1,0.87692,0.98608,0.10657,0.20327
1,0.60199,0.89452,0.059823,0.99936
1,0.83662,0.98237,0.094883,0.1542
1,0.64122,0.99312,0.0811,0.27835
1,0.75159,0.95049,0.024405,0.15854
1,0.24374,0.99581,0.99724,0.57423
1,0.078201,0.9928,0.27579,0.15466
1,0.53868,0.28967,0.1284,0.17859
1,0.19831,0.97479,0.32231,0.18596
1,0.067911,0.81592,0.26864,0.056602
1,0.98164,0.8573,0.064499,0.024259
1,0.78739,0.98778,0.051046,0.3125
1,0.065042,0.16951,0.065909,0.46362
1,0.10982,0.88794,0.054566,0.94368
1,0.098131,0.99157,0.1401,0.25068
1,0.019139,0.99691,0.017713,0.11379
1,0.36155,0.9454,0.14037,0.20384
1,0.080006,0.90641,0.174,0.24789
1,0.048938,0.050764,0.17972,0.99059
1,0.11441,0.99871,0.12968,0.13752
1,0.97752,0.84539,0.044138,0.083947
1,0.65924,0.84245,0.1614,0.71005
1,0.76634,0.99587,0.26227,0.57601
1,0.89919,0.94674,0.055759,0.86349
1,0.9651,0.92117,0.16264,0.49637
1,0.99674,0.99609,0.095861,0.43447
1,0.10681,0.98664,0.10912,0.87767
1,0.12333,0.94577,0.04558,0.09513
1,0.26333,0.99625,0.045326,0.011017
1,0.21252,0.99261,0.03574,0.8721
1,0.90701,0.98086,0.13593,0.1507
1,0.03343,0.95597,0.064821,0.14903
1,0.9568,0.60407,0.048009,0.095748
1,0.10749,0.99633,0.10166,0.99946
1,0.076409,0.93832,0.051188,0.82967
1,0.098542,0.054676,0.64811,0.99916
1,0.18612,0.99931,0.09302,0.28176
1,0.065682,0.49399,0.30818,0.13639
1,0.40924,0.95621,0.060038,0.99278
1,0.11187,0.99632,0.042002,0.54483
1,0.69061,0.71519,0.061885,0.99678
1,0.038738,0.20067,0.10935,0.37539
1,0.12812,0.89957,0.081958,0.77877
1,0.1354,0.99859,0.99918,0.19986
1,0.22961,0.99457,0.059714,0.14704
1,0.95986,0.99539,0.75303,0.79694
1,0.086346,0.93144,0.92662,0.15254
1,0.068698,0.13459,0.050435,0.092569
1,0.96325,0.96237,0.030506,0.96156
1,0.0043141,0.040314,0.078088,0.10449
