Real,ADJ,CMC,CPL,VERB
1,0.011247,0.032568,0.12821,0.26647
1,0.075501,0.091605,0.037917,0.98053
1,0.1557,0.31914,0.38704,0.06156
1,0.12441,0.095263,0.28889,0.019335
1,0.25907,0.38174,0.024915,0.0061309
1,0.6474,0.70459,0.21605,0.99792
1,0.012183,0.020552,0.011563,0.13363
1,0.0073762,0.010147,0.74701,0.35244
1,0.034224,0.37858,0.058829,0.2145
1,0.015936,0.018236,0.10547,0.46033
1,0.10412,0.018703,0.060414,0.2083
1,0.087734,0.97137,0.042762,0.029635
1,0.52665,0.34042,0.054706,0.10081
1,0.11936,0.71668,0.021945,0.22342
1,0.36632,0.55798,0.020321,0.18038
1,0.84508,0.40578,0.11068,0.056933
1,0.040515,0.013621,0.18732,0.031241
1,0.33833,0.1664,0.28292,0.016561
1,0.021471,0.0057803,0.062568,0.020788
1,0.88007,0.38128,0.0089815,0.027524
1,0.89857,0.98964,0.01023,0.11817
1,0.21676,0.15093,0.025123,0.27729
1,0.37651,0.26081,0.41292,0.0052323
1,0.022207,0.18372,0.065014,0.088808
1,0.02427,0.99972,0.2171,0.16655
1,0.012668,0.017363,0.010761,0.3418
1,0.20979,0.64961,0.095453,0.061819
1,0.012475,0.0016011,0.041533,0.34008
1,0.065586,0.77736,0.010232,0.33334
1,0.29129,0.031863,0.51984,0.18698
1,0.014644,0.64951,0.036793,0.52196
1,0.020083,0.40263,0.034691,0.28091
1,0.021928,0.071996,0.009582,0.090331
1,0.89089,0.71206,0.28813,0.06289
1,0.058218,0.99076,0.014693,0.65052
1,0.0039748,0.16514,0.12077,0.61288
1,0.78269,0.21691,0.090402,0.017904
1,0.066265,0.9742,0.021546,0.20294
1,0.16559,0.80727,0.0092962,0.73896
1,0.014485,0.99019,0.21013,0.1655
1,0.0479,0.0051612,0.090539,0.98011
1,0.32662,0.96433,0.53807,0.48488
1,0.72457,0.92468,0.77489,0.022649
1,0.036644,0.4948,0.071394,0.010407
1,0.013548,0.01085,0.5138,0.27986
1,0.15061,0.96526,0.012965,0.0063738
1,0.013356,0.018186,0.0097986,0.017052
1,0.087311,0.75262,0.57932,0.27541
1,0.16486,0.07568,0.0405,0.79499
1,0.16686,0.82537,0.13715,0.01431
1,0.45075,0.76052,0.21388,0.028481
1,0.011486,0.18087,0.0090307,0.014338
1,0.12431,0.8273,0.12426,0.057763
1,0.17496,0.22326,0.049712,0.017358
1,0.11954,0.35818,0.031578,0.25047
1,0.068753,0.049795,0.99746,0.58362
1,0.051685,0.25949,0.019752,0.11022
1,0.057489,0.059402,0.22641,0.19352
1,0.072651,0.97974,0.31602,0.91844
1,0.046386,0.98593,0.088044,0.38847
1,0.047258,0.58337,0.73307,0.084163
1,0.68361,0.95293,0.040701,0.017897
1,0.083464,0.51769,0.035176,0.039286
1,0.00047723,0.25347,0.010706,0.44977
1,0.40692,0.40556,0.041189,0.41248
1,0.029562,0.017912,0.26371,0.20448
1,0.058231,0.99617,0.58352,0.15092
1,0.15906,0.97615,0.024792,0.37564
1,0.021841,0.97212,0.11268,0.037258
1,0.039628,0.34289,0.046638,0.085276
1,0.015058,0.88241,0.076303,0.19618
1,0.045586,0.31858,0.96316,0.20606
1,0.082458,0.1978,0.12167,0.49814
1,0.23292,0.95208,0.016645,0.6366
1,0.1188,0.0087449,0.019191,0.019685
1,0.19161,0.98598,0.12161,0.0091045
1,0.069467,0.18743,0.076976,0.98143
1,0.012665,0.020174,0.58865,0.055805
1,0.014644,0.9919,0.11462,0.98898
1,0.015199,0.0026898,0.10226,0.074823
1,0.27693,0.18915,0.12556,0.10547
1,0.0074462,0.019701,0.11762,0.03714
1,0.1418,0.97845,0.051278,0.14289
1,0.014644,0.01779,0.030285,0.054535
1,0.39342,0.81239,0.11281,0.36452
1,0.1359,0.95883,0.039962,0.27591
1,0.23086,0.65632,0.10215,0.25389
1,0.17492,0.96124,0.075976,0.44208
1,0.17746,0.65911,0.32872,0.10128
1,0.082232,0.06248,0.48502,0.37714
1,0.33732,0.1809,0.10909,0.011493
1,0.14873,0.34955,0.11302,0.4377
1,0.376,0.25622,0.78844,0.031243
1,0.04058,0.22252,0.043137,0.14529
1,0.062777,0.32387,0.71212,0.57408
1,0.57923,0.94516,0.040599,0.049729
1,0.017857,0.021201,0.23126,0.23004
1,0.053152,0.24911,0.25246,0.36352
1,0.30516,0.30306,0.010106,0.028206
1,0.21126,0.23746,0.027264,0.75691
1,0.16117,0.97561,0.025906,0.18025
1,0.50118,0.6686,0.5008,0.017334
1,0.51221,0.65563,0.62216,0.31694
1,0.39563,0.24372,0.27113,0.27968
1,0.11373,0.98502,0.046142,0.099292
1,0.013839,0.31904,0.0099438,0.028289
1,0.28614,0.19616,0.03207,0.23917
1,0.015294,0.92098,0.21058,0.29438
1,0.12802,0.16638,0.014434,0.070916
1,0.29262,0.91984,0.039035,0.0071913
1,0.058244,0.90513,0.1418,0.25271
1,0.087792,0.98672,0.21519,0.17953
1,0.023511,0.93474,0.02395,0.083725
1,0.19303,0.57353,0.045193,0.20048
1,0.18023,0.99483,0.37699,0.016991
1,0.014644,0.63267,0.042414,0.015357
1,0.81569,0.050007,0.21922,0.37667
1,0.019156,0.27948,0.1609,0.088534
1,0.065335,0.88677,0.80124,0.21273
1,0.094102,0.0046813,0.18274,0.18082
1,0.01464,0.91718,0.23176,0.09052
1,0.14272,0.77978,0.035995,0.4233
1,0.093205,0.079367,0.0098379,0.14872
1,0.98254,0.94565,0.61816,0.10641
1,0.66014,0.96596,0.44507,0.12307
1,0.077413,0.5881,0.15341,0.065757
1,0.78038,0.99077,0.96222,0.0080555
1,0.011677,0.017363,0.049559,0.014309
1,0.26178,0.0079397,0.49675,0.016092
1,0.28852,0.84782,0.035072,0.48478
1,0.13893,0.98482,0.10017,0.051908
1,0.041739,0.0063155,0.069333,0.29943
1,0.21932,0.99107,0.283,0.005948
1,0.014152,0.63232,0.065937,0.21876
1,0.53872,0.99466,0.022804,0.33359
1,0.99174,0.081313,0.078666,0.032795
1,0.93766,0.9961,0.013935,0.025454
1,0.37431,0.022098,0.52114,0.8517
1,0.022061,0.15604,0.52479,0.033096
1,0.94874,0.016176,0.59371,0.011721
1,0.11459,0.66192,0.05029,0.54751
1,0.073198,0.72939,0.48203,0.3775
1,0.21936,0.98119,0.1588,0.087242
1,0.045746,0.010835,0.36242,0.037785
1,0.19899,0.088647,0.59984,0.058259
1,0.99924,0.29544,0.023151,0.26485
1,0.024101,0.018728,0.22817,0.80474
1,0.58723,0.9564,0.028012,0.10021
1,0.35571,0.98304,0.018239,0.042479
1,0.073808,0.4595,0.81131,0.065641
1,0.25754,0.7316,0.27347,0.079977
1,0.10987,0.90011,0.018477,0.0021004
1,0.066605,0.94641,0.014451,0.39935
1,0.23438,0.054523,0.61362,0.31392
1,0.25984,0.30994,0.011851,0.0078662
1,0.0047399,0.018377,0.026632,0.18924
1,0.014644,0.99574,0.13454,0.15772
1,0.031173,0.92818,0.14824,0.1784
1,0.11675,0.98409,0.025871,0.14721
1,0.013752,0.011161,0.042053,0.0955
1,0.0069963,0.28925,0.010443,0.37383
1,0.21365,0.99921,0.0090547,0.37084
1,0.082749,0.97629,0.031839,0.0073213
1,0.084726,0.94751,0.03328,0.15066
1,0.085751,0.040824,0.078032,0.12885
1,0.033449,0.036162,0.75378,0.012936
1,0.011885,0.37329,0.020962,0.025548
1,0.25517,0.14205,0.1778,0.45188
1,0.050677,0.16573,0.030799,0.019504
1,0.013907,0.060851,0.047462,0.0067858
1,0.047449,0.95118,0.29614,0.95013
1,0.26216,0.99319,0.10535,0.029732
1,0.77878,0.36984,0.40016,0.0080334
1,0.048892,0.96116,0.14356,0.045186
1,0.027588,0.0078133,0.022242,0.024771
1,0.060941,0.98722,0.12782,0.21565
1,0.068723,0.099698,0.038863,0.013149
1,0.16126,0.50796,0.076072,0.72396
1,0.57894,0.54013,0.20462,0.44971
1,0.44886,0.034392,0.050048,0.018167
1,0.024806,0.70848,0.10071,0.05142
1,0.0065871,0.0089903,0.84728,0.59129
1,0.056666,0.0014954,0.01534,0.073186
1,0.35615,0.98618,0.13187,0.20994
1,0.37125,0.6861,0.016156,0.0071826
1,0.11963,0.97154,0.068735,0.27973
1,0.10635,0.39421,0.2495,0.0089489
1,0.62122,0.30051,0.34262,0.0035835
1,0.55613,0.99036,0.059204,0.055874
1,0.061705,0.99732,0.075014,0.4978
1,0.040071,0.31265,0.027267,0.044195
1,0.13625,0.8498,0.015409,0.011128
1,0.94707,0.69668,0.046432,0.046113
