Real,ADJ,CMC,CPL,VERB
1,0.76441,0.078299,0.02844,0.3127
1,0.033769,0.17922,0.038804,0.0015303
1,0.64345,0.0379,0.074893,0.063027
1,0.13452,0.035194,0.036026,0.19607
1,0.26088,0.036198,0.036375,0.013133
1,0.052219,0.029872,0.056942,0.22331
1,0.27332,0.077232,0.019208,0.19804
1,0.9958,0.71652,0.1602,0.042887
1,0.18181,0.14922,0.028095,0.11722
1,0.71318,0.74226,0.017666,0.26263
1,0.68089,0.99908,0.24398,0.086255
1,0.083707,0.013667,0.041266,0.34843
1,0.55483,0.63286,0.05348,0.023516
1,0.4407,0.022599,0.028538,0.021256
1,0.44842,0.038012,0.095632,0.063417
1,0.043143,0.086725,0.013513,0.71647
1,0.41361,0.10509,0.059744,0.41674
1,0.15224,0.5018,0.0292,0.23872
1,0.046757,0.03314,0.043552,0.016804
1,0.017868,0.026927,0.041829,0.26732
1,0.012815,0.93345,0.03991,0.013399
1,0.82753,0.97562,0.024276,0.9933
1,0.23041,0.034747,0.032187,0.72227
1,0.011518,0.0048984,0.046185,0.25766
1,0.28787,0.0028412,0.10282,0.21599
1,0.21698,0.96379,0.017415,0.45549
1,0.65654,0.95342,0.033278,0.015839
1,0.90007,0.053741,0.028434,0.73803
1,0.063847,0.04597,0.02114,0.011043
1,0.042132,0.052252,0.060785,0.040298
1,0.077133,0.23492,0.035365,0.65299
1,0.050043,0.96815,0.04055,0.64849
1,0.1746,0.55902,0.031764,0.10887
1,0.99675,0.99243,0.033086,0.4289
1,0.28668,0.51301,0.10544,0.082307
1,0.99574,0.049419,0.069645,0.039831
1,0.84875,0.084286,0.048008,0.015722
1,0.24531,0.79245,0.16544,0.070734
1,0.42413,0.42646,0.069486,0.99699
1,0.22216,0.0092796,0.024138,0.30251
1,0.91258,0.85243,0.018037,0.18614
1,0.02806,0.70471,0.37738,0.13413
1,0.97841,0.5069,0.023171,0.99998
1,0.16075,0.88171,0.037287,0.43215
1,0.12473,0.43461,0.019014,0.01405
1,0.57108,0.63951,0.012787,0.011758
1,0.066916,0.073665,0.02572,0.12645
1,0.62911,0.11504,0.049751,0.029951
1,0.046077,0.46792,0.01828,0.085962
1,0.096544,0.025303,0.048931,0.15447
1,0.8051,0.13875,0.024854,0.10922
1,0.22289,0.26958,0.037415,0.023711
1,0.025798,0.99601,0.046533,0.013686
1,0.041951,0.015675,0.32978,0.013374
1,0.99546,0.018012,0.03575,0.24264
1,0.24827,0.08034,0.021635,0.33543
1,0.46821,0.030213,0.020436,0.8459
1,0.019912,0.91444,0.035139,0.067519
1,0.268,0.54892,0.032305,0.56558
1,0.041423,0.029925,0.052692,0.021523
1,0.17949,0.0082547,0.039386,0.012578
1,0.68361,0.94286,0.026885,0.026952
1,0.010378,0.9855,0.01737,0.11126
1,0.017515,0.41178,0.036796,0.063147
1,0.12531,0.80191,0.024113,0.080936
1,0.54642,0.026357,0.019541,0.19314
1,0.019064,0.018523,0.059553,0.50601
1,0.9236,0.018498,0.038774,0.050514
1,0.6764,0.089297,0.017884,0.057087
1,0.031677,0.088834,0.027673,0.029197
1,0.48865,0.7392,0.16323,0.041807
1,0.23964,0.27546,0.05638,0.35549
1,0.0857,0.10957,0.019517,0.47478
1,0.96075,0.12636,0.46977,0.18776
1,0.51731,0.83114,0.037396,0.014845
1,0.36356,0.41774,0.022701,0.064804
1,0.73925,0.95424,0.020224,0.15589
1,0.36976,0.002263,0.019477,0.012273
1,0.018015,0.027374,0.051807,0.11815
1,0.018243,0.0046204,0.025283,0.11384
1,0.14224,0.9196,0.026074,0.029397
1,0.027867,0.82296,0.022062,0.10948
1,0.50286,0.038388,0.12301,0.050632
1,0.024929,0.02554,0.023819,0.083741
1,0.17883,0.15665,0.021779,0.022303
1,0.013172,0.0094133,0.036447,0.13508
1,0.92676,0.99502,0.040197,0.12006
1,0.010378,0.99628,0.034085,0.0097531
1,0.025695,0.045407,0.03564,0.92016
1,0.16237,0.075639,0.055975,0.19187
1,0.008359,0.10447,0.05183,0.23583
1,0.49978,0.94301,0.045948,0.019063
1,0.38001,0.054813,0.55794,0.51055
1,0.094889,0.013749,0.04584,0.21121
1,0.26414,0.059791,0.0361,0.26222
1,0.17144,0.050153,0.02979,0.13613
1,0.46378,0.042846,0.049026,0.79204
1,0.484,0.51732,0.032853,0.36081
1,0.42613,0.19356,0.02305,0.40668
1,0.010378,0.97394,0.025341,0.99999
1,0.24528,0.034099,0.02759,0.12755
1,0.23895,0.70251,0.15124,0.1965
1,0.95888,0.041299,0.03907,0.51972
1,0.35415,0.9945,0.033616,0.83714
1,0.013157,0.83561,0.019285,0.018262
1,0.72345,0.06175,0.019361,0.30832
1,0.13883,0.049429,0.019348,0.044223
1,0.75324,0.72155,0.024333,0.081656
1,0.52917,0.027631,0.026575,0.31385
1,0.15129,0.88429,0.031037,0.018383
1,0.64348,0.060764,0.047949,0.14454
1,0.060712,0.013332,0.034354,0.036435
1,0.015501,0.040545,0.046806,0.93844
1,0.010937,0.00243,0.041094,0.027397
1,0.23582,0.99432,0.04556,0.43762
1,0.855,0.094408,0.046693,0.16317
1,0.040791,0.084189,0.030801,0.16157
1,0.62812,0.018146,0.044912,0.019071
1,0.7749,0.0091158,0.018375,0.22528
1,0.61109,0.84224,0.044721,0.040581
1,0.37424,0.9895,0.015547,0.011866
1,0.66339,0.9285,0.080821,0.053276
1,0.392,0.10823,0.023758,0.066528
1,0.49023,0.077027,0.031069,0.54957
1,0.59662,0.03948,0.080749,0.16923
1,0.1179,0.9727,0.091963,0.31185
1,0.80196,0.036857,0.019133,0.023488
1,0.067081,0.016757,0.080257,0.12785
1,0.25464,0.020664,0.037261,0.32166
1,0.56209,0.1127,0.019419,0.49532
1,0.5372,0.43847,0.027885,0.24478
1,0.065075,0.0042013,0.037977,0.17238
1,0.063116,0.10073,0.019502,0.1503
1,0.51218,0.070671,0.039208,0.16944
1,0.37602,0.070262,0.053333,0.087019
1,0.013542,0.99285,0.05145,0.22892
1,0.39565,0.025146,0.028075,0.42035
1,0.4395,0.017326,0.084837,0.078061
1,0.49355,0.60662,0.022225,0.17719
1,0.44905,0.15656,0.040668,0.48492
1,0.64186,0.99994,0.029078,0.51667
1,0.15029,0.071213,0.045483,0.49633
1,0.084849,0.65316,0.12294,0.92556
1,0.56523,0.53436,0.021216,0.68718
1,0.49914,0.63726,0.021936,0.077685
1,0.21688,0.64415,0.034199,0.21415
1,0.0078278,0.0068577,0.027339,0.011287
1,0.57834,0.029973,0.14648,0.20438
1,0.028648,0.75452,0.031628,0.032597
1,0.16268,0.020704,0.10481,0.021447
1,0.39232,0.046816,0.023293,0.46842
1,0.073555,0.09684,0.63879,0.39711
1,0.9368,0.055262,0.050297,0.24273
1,0.47869,0.078855,0.018082,0.0084709
1,0.027827,0.028682,0.024874,0.92207
1,0.019363,0.99683,0.041894,0.99999
1,0.047312,0.99591,0.029767,0.41103
1,0.98595,0.82087,0.037078,0.99503
1,0.019765,0.0015863,0.038762,0.052642
1,0.3168,0.19472,0.015573,0.45786
1,0.6053,0.073249,0.03463,0.10949
1,0.031213,0.7031,0.020436,0.74644
1,0.4522,0.0097099,0.30117,0.86945
1,0.5711,0.94248,0.019529,0.13715
1,0.64284,0.015564,0.026325,0.063395
1,0.28853,0.048897,0.059228,0.20512
1,0.062025,0.026692,0.012859,0.031144
1,0.028256,0.12894,0.028365,0.015786
1,0.16012,0.046988,0.043133,0.25606
1,0.43703,0.087758,0.077965,0.51032
1,0.86984,0.022612,0.018148,0.40662
1,0.027086,0.039836,0.10389,0.003013
1,0.10613,0.0050952,0.034948,0.40611
1,0.09616,0.0063973,0.029642,0.046212
1,0.9698,0.030306,0.016955,0.14522
1,0.49572,0.1532,0.1485,0.96268
1,0.099748,0.0050992,0.021464,0.51218
1,0.042302,0.040753,0.0249,0.13701
1,0.1334,0.070792,0.046204,0.023112
1,0.28082,0.99247,0.025582,0.058187
1,0.92947,0.25085,0.028713,0.25321
1,0.65059,0.98853,0.018281,0.022255
1,0.16756,0.50537,0.031869,0.09366
1,0.83812,0.12685,0.029156,0.17816
1,0.59598,0.98344,0.14114,0.16267
1,0.32797,0.75572,0.028143,0.13229
1,0.24289,0.99515,0.017448,0.98804
1,0.51705,0.58125,0.029051,0.2464
1,0.042661,0.0046242,0.018599,0.43354
1,0.16974,0.0036226,0.015079,0.022169
1,0.806,0.87436,0.016201,0.15471
1,0.91959,0.74851,0.072334,0.013133
1,0.089215,0.16464,0.074254,0.068813
1,0.33691,0.58433,0.10329,0.34148
1,0.75145,0.029567,0.022402,0.13261
1,0.025562,0.024916,0.083683,0.033594
1,0.044361,0.19629,0.098465,0.018266
