Variable Name,Variable Description
DATE,Date
VIXO,CBOE S&P500 Volatility Index - Open
VIXH,CBOE S&P500 Volatility Index - High
VIXL,CBOE S&P500 Volatility Index - Low
VIX,CBOE S&P500 Volatility Index - Close
VXOO,CBOE S&P100 Volatility Index - Open
VXOH,CBOE S&P100 Volatility Index - High
VXOL,CBOE S&P100 Volatility Index - Low
VXO,CBOE S&P100 Volatility Index - Close
VXNO,CBOE NASDAQ Volatility Index - Open
VXNH,CBOE NASDAQ Volatility Index - High
VXNL,CBOE NASDAQ Volatility Index - Low
VXN,CBOE NASDAQ Volatility Index - Close
VXDO,CBOE DJIA Volatility Index - Open
VXDH,CBOE DJIA Volatility Index - High
VXDL,CBOE DJIA Volatility Index - Low
VXD,CBOE DJIA Volatility Index - Close
