Variable Name,Variable Description
ACCOMP,Acquiring PERMCO
ACPERM,Acquiring PERMNO
ASK,Closing Ask
ASKHI,Ask or High
BID,Closing Bid
BIDLO,Bid or Low
CFACPR,Cumulative Factor to Adjust Price
CFACSHR,Cumulative Factor to Adjust Shares
COMNAM,Company Name
CUSIP,Cusip
DCLRDT,Declaration Date
DISTCD,Distribution Code
DIVAMT,Dividend Cash Amount
DLAMT,Amount After Delisting
DLPDT,Date of Delisting Payment
DLPRC,Delisting Price
DLRET,Delisting Return
DLRETX,Delisting Return without Dividends
DLSTCD,Delisting Code
EWRETD,Equal-Weighted Return (includes distributions)
EWRETX,Equal-Weighted Return (excluding dividends)
EXCHCD,Exchange Code
FACPR,Factor to Adjust Price
FACSHR,Factor to Adjust Shares
HEXCD,Header Exchange Code
HSICCD,Header SIC Code
HSICIG,Header SIC Industry Group
HSICMG,Header SIC Major Group
ISSUNO,Nasdaq Issue Number
MMCNT,Market Maker Count
NAICS,North American Industry Class System
NAMEENDT,Names Ending Date
NCUSIP,Ncusip
NEXTDT,Date of Next Available Information
NMSIND,National Market Indicator
NSDINX,NASD Index
NUMTRD,Number of Trades
NWPERM,New CRSP PERMNO
OPENPRC,Open Price
PAYDT,Payment Date
PERMCO,CRSP Permanent Company Number
PRC,Price
PRIMEXCH,Primary Exchange
RCRDDT,Record Date
RET,Holding Period Return
RETX,Return without Dividends
SECSTAT,Security Status
SHRCD,Share Code
SHRCLS,Share Class
SHRFLG,Share Flag
SHROUT,Number of Shares Outstanding
SICCD,SIC Code
SPRTRN,Return on S&P Composite Index
TICKER,Ticker
TRDSTAT,Trading Status
TRTSCD,Traits Code
TSYMBOL,Trading Symbol
VOL,Share Volume
VWRETD,Value-Weighted Return (including distributions)
VWRETX,Value-Weighted Return (excluding dividends)
