Variable Name,Variable Description
BEGDAT,Begin of Stock Data
BEGPRC,Begin of Price Data
BEGRET,Begin of Return Data
BEGVOL,Begin of Volume Data
COMPNO,Nasdaq Company Number
CUSIP,CUSIP Header
DLSTCD,Delisting Code Header
ENDDAT,End of Stock Data
ENDPRC,End of Price Data
ENDRET,End of Return Data
ENDVOL,End of Volume Data
HCOMNAM,Company Name Header
HEXCD,Exchange Code Header
HNAICS,North American Industry Class Header
HPRIMEXC,Primary Exchange Header
HSECSTAT,Security Status Header
HSHRCD,Share Code Header
HSICCD,Standard Industrial Class Code
HTICK,Ticker Symbol Header
HTRDSTAT,Trading Status Header
HTSYMBOL,Trading Symbol Header
ISSUNO,Nasdaq Issue Number
NUMDEL,Number of Delisting Structures
NUMDIS,Number of Distribution Structures
NUMNAM,Number of Names Structures
NUMNDI,Number of Nasdaq Information Structure
NUMSHR,Number of Shares Structure
PERMCO,CRSP Permanent Company Number
PERMNO,CRSP Permanent Number
